Compound,Best,Flag
C67911924_P104263561,-11.3817587,0
Flavonoid_86b-2GZ7,-11.3552752,1
Flavonoid_87a-2GZ7,-10.8286543,1
C79473648_P124189995,-10.8241234,0
C02370548_P155527855,-10.7150106,0
C00834444_P09349386,-10.4151745,0
C08818477_P13542455,-10.3250084,0
C02376490_P155527632,-10.2813282,0
C71894764_P111547211,-10.2398348,0
C02394477_P13260676,-10.1848888,0
Flavonoid_89a-2GZ7,-10.1596889,1
C67911927_P104263565,-10.1035366,0
C02370551_P155527853,-10.0456533,0
Flavonoid_88a-2GZ7,-10.0276871,1
C26600048_P55615676,-9.99977016,0
C97952395_P155530247,-9.98508835,0
C19898984_P29594794,-9.88547611,0
C98240644_P156251465,-9.86335945,0
C34708244_P51507173,-9.82818604,0
C13570339_P95018350,-9.79789829,0
C70704831_P109089279,-9.78006935,0
C98036917_P155751153,-9.77792358,0
C97952392_P155530484,-9.77668762,0
C53307522_P155543143,-9.76349831,0
C70701554_P109080214,-9.75113392,0
C83252329_P130120239,-9.71977139,0
C35483935_P52652620,-9.70851421,0
C15861918_P23943126,-9.67601776,0
C16038325_P111186352,-9.66102982,0
C20518364_P110957471,-9.65404129,0
C17524089_P26324330,-9.61592388,0
C00717453_P111126534,-9.59161854,0
C98007854_P155671380,-9.57326126,0
C33036978_P48898111,-9.56578255,0
C09477509_P20365376,-9.56144333,0
C03234116_P155282826,-9.55893707,0
C16011794_P110957379,-9.54866505,0
C02246173_P09281173,-9.54731083,0
C70701240_P109079550,-9.54247761,0
C98036918_P155752119,-9.52069283,0
C38700423_P58590903,-9.51950169,0
C98002688_P155660550,-9.51163006,0
C39206483_P59402052,-9.4960537,0
C04327354_P156198083,-9.49385738,0
C98037055_P155752237,-9.49005508,0
C03184733_P152137071,-9.48843765,0
C19790621_P29376133,-9.45960808,0
C09292118_P54256804,-9.45825863,0
C33594340_P49769884,-9.45815849,0
C39589851_P60025253,-9.4487257,0
C01334057_P49386203,-9.43476582,0
C96860884_P153241650,-9.42013931,0
C36658237_P58704085,-9.41787529,0
C02358522_P155527285,-9.41423988,0
C06141595_P57778846,-9.40489769,0
C20391928_P97837051,-9.39816666,0
C02440893_P90000584,-9.38797855,0
C12656159_P18608764,-9.37816429,0
C40826231_P61985648,-9.37168789,0
C00659083_P57588388,-9.36679554,0
C33810612_P50100426,-9.36665535,0
C09085894_P13937554,-9.36414528,0
C04282144_P156211431,-9.35402966,0
C12340726_P18134934,-9.35337067,0
C40339766_P61235572,-9.35281944,0
C04335690_P05743967,-9.34699535,0
C02355320_P57469149,-9.34665012,0
C04181218_P06936346,-9.32990837,0
C96336130_P151994426,-9.32952213,0
Flavonoid_83c-2GZ7,-9.32950687,1
C38702104_P61579481,-9.3286953,0
C39547800_P59954935,-9.31446838,0
C01792448_P79992253,-9.31129742,0
C54202146_P81544250,-9.30999947,0
C16684553_P140450871,-9.30037403,0
C97955843_P155542799,-9.28821945,0
C34716848_P133687440,-9.27298737,0
C01118309_P90776711,-9.27012634,0
C21224518_P31677036,-9.26192379,0
C33358564_P49381204,-9.25667,0
C40548995_P61567788,-9.24089527,0
C59170395_P89794735,-9.24074364,0
C58847114_P89091797,-9.23819637,0
