ZINC_ID,Glide_5R8T,Glide_5R81,Glide_5REZ,Glide_5RF7,Glide_5RGI,Glide_5RH3,Glide_6LU7_2,Glide_7BUY
C08672141_P57126090,-6.194,-6.723,-5.989,-6.788,-6.373,-6.185,-6.523,-7.868
C00327188_P05713147,-5.992,-5.922,-5.743,-7.073,-6.127,-5.39,-6.192,-7.779
C70569814_P108848569,-5.468,-5.462,-5.664,-6.219,-5.287,-4.912,-5.121,-7.754
C00301851_P05175685,-5.862,-6.447,-6.104,-7.032,-6.086,-6.027,-7.196,-7.666
C05674409_P24248026,-5.867,-6.369,-5.652,-6.581,-5.851,-6.09,-6.131,-7.565
C67654393_P103873567,-6.164,-5.835,-6.016,-6.574,-5.227,-5.654,-6.429,-7.503
C91587216_P143345337,-4.885,-5.486,-6.016,-7.021,-6.166,-6.029,-6.766,-7.473
C84360586_P132004987,-5.609,-5.732,-5.363,-6.815,-5.48,-6.056,-5.975,-7.458
C34977612_P51916246,-5.406,-6.695,-5.792,-6.098,-5.008,-5.486,-6.462,-7.457
C70427259_P108597426,-5.925,-6.879,-6.621,-7.22,-6.495,-6.33,-7.128,-7.403
C94264424_P147733104,-6.345,-7.283,-6.845,-7.595,-6.162,-6.466,-6.194,-7.351
C64622781_P99239113,-5.887,-8.26,-5.283,-6.763,-6.795,-4.954,-6.115,-7.306
C15829639_P23855065,-5.599,-6.242,-6.124,-6.661,-6.319,-6.365,-5.817,-7.257
C00301847_P05139927,-5.517,-5.86,-6.785,-7.516,-6.895,-6.391,-6.764,-7.238
C19931991_P133710558,-5.981,-6.38,-5.832,-5.992,-6.926,-6.053,-6.256,-7.229
C78788632_P122964158,-5.614,-5.745,-5.705,-6.327,-5.977,-5.749,-5.875,-7.22
C36850585_P54776233,-5.62,-6.935,-5.697,-6.523,-5.066,-4.81,-6.084,-7.219
C33357788_P49380035,-5.115,-6.912,-6.435,-7.617,-5.25,-5.63,-6.927,-7.217
C72464026_P112737026,-5.775,-6.579,-5.884,-6.118,-5.535,-5.408,-6.204,-7.193
C90469534_P141453982,-7.009,-6.483,-6.559,-6.209,-6.553,-6.875,-5.588,-7.187
C83298467_P130219311,-5.822,-6.713,-6.215,-6.742,-6.016,-6.057,-5.785,-7.186
C90794503_P142028627,-5.469,-5.474,-5.462,-6.294,-5.392,-4.833,-5.752,-7.163
C70510727_P108761288,-5.576,-6.251,-5.608,-6.341,-5.277,-5.723,-6.689,-7.139
C84208456_P131770605,-5.611,-6.437,-5.646,-6.897,-5.958,-6.256,-7.246,-7.127
C54961692_P82749084,-4.83,-6.514,-6.474,-7.807,-5.761,-5.548,-5.928,-7.127
C35631846_P52888082,-6.026,-7.466,-6.889,-6.857,-5.672,-6.067,-7.089,-7.111
C09151368_P14040173,-5.801,-6.407,-5.738,-8.215,-5.154,-4.056,-5.668,-7.088
C97949095_P155518328,-4.602,-4.297,-5.846,-6.432,-5.626,-2.657,-7.781,-7.069
C72386019_P112566459,-4.634,-6.694,-6.129,-6.987,-5.627,-6.861,-6.157,-7.063
C94496000_P148115726,-5.29,-5.605,-5.965,-5.837,-4.801,-5.125,-6.221,-7.049
C01270027_P79935322,-4.406,-6.247,-5.679,-6.572,-5.075,-5.431,-5.717,-7.044
C33359335_P83105852,-6.511,-7.203,-6.134,-7.147,-6.438,-5.593,-6.052,-7.042
C93627280_P146649028,-5.159,-6.463,-5.487,-6.075,-5.855,-6.429,-6.957,-7.035
C87422794_P136762819,-5.898,-6.122,-5.746,-6.792,-5.55,-5.666,-6.7,-7.021
C61932701_P94948864,-4.834,-5.563,-5.992,-6.061,-4.802,-5.823,-7.394,-7.011
C62365710_P95687775,-6.266,-6.954,-6.454,-6.707,-5.37,-5.865,-7.031,-7.007
C64480959_P98998431,-4.799,-6.793,-6.352,-7.16,-6.56,-6.293,-6.247,-7
C36882084_P54818579,-6.119,-6.894,-6.431,-7.143,-5.654,-6.044,-6.687,-6.999
C87287822_P136567917,-6.105,-6.426,-6.173,-6.281,-6.243,-6.281,-6.053,-6.992
C73703501_P114806298,-6.03,-7.009,-6.082,-5.768,-5.478,-6.437,-5.185,-6.975
C87546384_P136936041,-5.718,-6.857,-6.057,-6.92,-6.228,-5.495,-6.126,-6.974
C14993184_P30644111,-4.255,-6.272,-5.517,-5.459,-6.063,-4.659,-6.106,-6.957
C83096145_P129881134,-5.071,-6.289,-5.936,-6.461,-5.611,-5.671,-6.638,-6.952
C94264553_P147733233,-6.016,-6.929,-6.464,-7.48,-6.869,-6.141,-6.258,-6.951
C85419677_P133676485,-6.176,-6.346,-6.255,-6.353,-6.042,-5.98,-6.075,-6.951
C87418879_P136757719,-5.283,-5.781,-5.934,-6.628,-5.915,-5.791,-5.627,-6.933
C12542390_P57772096,-4.168,-6.264,-4.146,-5.662,-4.398,-5.079,-7.199,-6.93
C91876861_P143841957,-6.407,-7.085,-6.58,-7.271,-6.812,-6.862,-6.443,-6.921
C76068753_P118608067,-5.896,-6.363,-5.879,-7.03,-5.841,-6.218,-6.583,-6.919
C97947302_P155515969,-4.081,-6.427,-5.732,-5.608,-5.234,-4.965,-7.078,-6.908
C09095144_P21451265,-3.965,-7.404,-5.185,-6.562,-6.093,-6.552,-6.122,-6.898
C38141544_P57393292,-5.217,-7.665,-5.746,-8.232,-6.255,-6.258,-7.734,-6.892
C83718595_P130960846,-5.293,-5.949,-5.623,-6.503,-5.655,-6.13,-5.571,-6.889
C82821633_P129456348,-5.036,-5.825,-5.814,-6.281,-6.756,-5.502,-5.485,-6.889
C87660642_P137131999,-4.805,-6.106,-5.629,-6.271,-5.086,-5.232,-6.043,-6.887
