Compound,1FJS,1IQH,1LPK,1LQD,3SW2
1EZQ_-_ligand-1FJS,-10.3292866,-10.3207827,-9.79078674,-9.36501694,-10.0213013
1F0R_-_ligand-1FJS,-10.262557,-10.3007078,-9.75154305,-9.62541294,-10.2932644
1F0S_-_ligand-1FJS,-9.87838268,-9.906497,-9.57937717,-9.90688229,-9.72045231
1FAX_-_ligand-1FJS,-9.12776375,-9.82374954,-9.3087225,-9.84154987,-9.50743675
1FJS_-_ligand-1FJS,-10.3219099,-9.25842094,-10.4431639,-9.98135853,-9.56533432
1G2L_-_ligand-1FJS,-8.88908958,-10.0548401,-8.86824512,-8.66932964,-9.12601852
1G2M_-_ligand-1FJS,-10.845952,-10.1720076,-9.87796783,-10.1768751,-10.4409046
1LPG_-_ligand-1FJS,-9.18834782,-10.0102301,-9.24848652,-8.80776787,-9.49339867
1LPZ_-_ligand-1FJS,-9.92924881,-9.46131134,-10.6162434,-10.5303698,-8.44005775
1MQ5_-_ligand-1FJS,-9.02127838,-9.50492382,-8.93830013,-9.06630993,-9.31962872
1NFU_-_ligand-1FJS,-10.0433779,-9.75711727,-10.3575745,-9.9703064,-10.4730997
1NFW_-_ligand-1FJS,-10.264307,-9.64206791,-9.122262,-9.4521122,-9.44954967
1V3X_-_ligand-1FJS,-10.650486,-10.875515,-9.91840553,-10.1559629,-10.6335297
1WU1_-_ligand-1FJS,-10.7124844,-11.3443146,-9.64274502,-10.0266123,-11.413187
1Z6E_-_ligand-1FJS,-10.9509172,-9.17589474,-10.6222887,-10.3987675,-10.2135029
2BMG_-_ligand-1FJS,-8.38660622,-9.64505577,-8.75477123,-8.79694271,-8.63605976
2BQW_-_ligand-1FJS,-10.2132549,-9.65326786,-9.68333912,-9.50267601,-9.52357674
2CJI_-_ligand-1FJS,-8.87059498,-9.92134857,-8.78759575,-8.78676319,-9.27789879
2J34_-_ligand-1FJS,-8.8657217,-9.38319302,-8.09517002,-7.98535156,-8.65458393
2J4I_-_ligand-1FJS,-7.78705025,-8.98480606,-7.83690882,-7.8152194,-8.65935516
2JKH_-_ligand-1FJS,-8.67553234,-8.12835312,-8.41150188,-8.14907837,-8.25447655
2P93_-_ligand-1FJS,-9.3351717,-9.06067944,-9.26687717,-8.71482658,-9.49532986
2P94_-_ligand-1FJS,-11.3872166,-10.666152,-10.9049597,-10.5061646,-11.2980099
2PHB_-_ligand-1FJS,-11.3463478,-10.6894951,-9.6416769,-9.69159603,-10.8271856
2RA0_-_ligand-1FJS,-11.2510214,-10.0580416,-11.2415552,-10.930871,-10.8280401
2VH0_-_ligand-1FJS,-7.67499113,-7.92124653,-7.1434536,-7.68450642,-8.47292995
2Y82_-_ligand-1FJS,-9.55914307,-10.2288399,-9.8800087,-9.2061739,-11.389452
3CEN_-_ligand-1FJS,-10.168684,-11.0372095,-9.47892857,-9.37371922,-10.3141565
3ENS_-_ligand-1FJS,-8.91164875,-9.27192783,-9.25544548,-9.32289219,-9.3943367
3KL6_-_ligand-1FJS,-10.324585,-10.5813026,-10.0832586,-9.66035748,-10.2700081
3LIW_-_ligand-1FJS,-10.7270927,-9.95312405,-9.80108929,-10.5326834,-10.5803385
3M37_-_ligand-1FJS,-10.9310064,-10.4807177,-9.24199867,-9.791049,-10.476923
3SW2_-_ligand-1FJS,-10.0805178,-9.44557381,-10.8979626,-10.3676262,-11.0573215
4A7I_-_ligand-1FJS,-7.87270498,-8.04776859,-7.95664787,-7.98333645,-7.78602076
4BTT_-_ligand-1FJS,-8.84642506,-8.65236664,-9.30278492,-9.045331,-9.47201157
