Ligand,Score,Flag
active_5319258,-9.71774006,1
active_23628286,-9.43130589,1
ZINC000000034602,-9.12015152,0
ZINC000000006170,-9.07398129,0
ZINC000000005258,-8.96697998,0
ZINC000000002077,-8.95053482,0
active_44440976,-8.94853497,1
ZINC000000007312,-8.8469305,0
active_44440971,-8.81465721,1
ZINC000000009278,-8.79182339,0
active_44440958,-8.78269386,1
active_950368,-8.75660896,1
active_44440969,-8.71881962,1
active_756804,-8.71410847,1
active_44440987,-8.71257591,1
ZINC000000000142,-8.70675564,0
active_756803,-8.70611858,1
active_44440961,-8.70112228,1
active_44440967,-8.59963608,1
ZINC000000036233,-8.56325054,0
ZINC000000038238,-8.55488586,0
ZINC000000006788,-8.53817749,0
ZINC000000027354,-8.52927399,0
ZINC000000001244,-8.515481,0
active_44440990,-8.51231194,1
active_44440974,-8.47436047,1
ZINC000000019316,-8.46984577,0
ZINC000000002650,-8.46950245,0
ZINC000000026403,-8.45816803,0
ZINC000000002285,-8.41286087,0
ZINC000000008690,-8.39600182,0
ZINC000000079099,-8.39466286,0
active_44440979,-8.39317799,1
ZINC000000018235,-8.36270237,0
ZINC000000110981,-8.35973835,0
ZINC000000007460,-8.35438251,0
ZINC000000070194,-8.34951591,0
ZINC000000601673,-8.32188225,0
active_72313,-8.32178307,1
ZINC000000026559,-8.31571198,0
ZINC000000001213,-8.30772305,0
ZINC000000033244,-8.30142975,0
ZINC000000172632,-8.30051613,0
ZINC000000026404,-8.28465748,0
active_44440963,-8.28094196,1
ZINC000000151945,-8.27214718,0
active_122724,-8.25472927,1
ZINC000000034803,-8.24854279,0
active_44440965,-8.24692059,1
ZINC000000038289,-8.23793983,0
ZINC000000033523,-8.2246809,0
ZINC000000078285,-8.22018909,0
ZINC000000023819,-8.1927166,0
ZINC000000014944,-8.17977142,0
ZINC000000051515,-8.17977142,0
ZINC000000003586,-8.16727352,0
ZINC000000038953,-8.16596031,0
ZINC000000035325,-8.15884113,0
ZINC000000014695,-8.15094185,0
ZINC000000029115,-8.13811016,0
ZINC000000029102,-8.13761044,0
ZINC000000027973,-8.13750362,0
ZINC000000022901,-8.1284647,0
ZINC000000004875,-8.12117863,0
ZINC000000014945,-8.09895706,0
ZINC000000171621,-8.07746124,0
ZINC000000019204,-8.07566452,0
ZINC000000001153,-8.06280613,0
ZINC000000006629,-8.05786991,0
active_52942184,-8.04781342,1
ZINC000000020645,-8.03018665,0
ZINC000000033466,-8.02594471,0
ZINC000000003569,-8.02575302,0
ZINC000000039125,-8.01971626,0
ZINC000000093205,-8.00991249,0
ZINC000000468669,-8.00467777,0
ZINC000000008526,-7.99177408,0
ZINC000000057321,-7.98889971,0
active_44440981,-7.97778797,1
ZINC000000207675,-7.96630096,0
ZINC000000709248,-7.96591568,0
ZINC000000006514,-7.95681715,0
active_11563133,-7.94950199,1
ZINC000000028679,-7.948627,0
ZINC000000011281,-7.94433641,0
ZINC000000021403,-7.93828487,0
ZINC000000024167,-7.93782711,0
ZINC000000019013,-7.93738985,0
ZINC000000119495,-7.91027117,0
ZINC000000028981,-7.91019726,0
ZINC000000006787,-7.90457439,0
ZINC000000178656,-7.89703703,0
ZINC000000032570,-7.89453554,0
ZINC000000063598,-7.8936224,0
ZINC000000038242,-7.89158869,0
ZINC000000026945,-7.88453722,0
ZINC000000032492,-7.88219166,0
ZINC000000024748,-7.87500525,0
ZINC000000018714,-7.85910463,0
ZINC000000022566,-7.85512543,0
ZINC000000008854,-7.85109854,0
active_52943029,-7.85039091,1
ZINC000000128584,-7.84674072,0
ZINC000000001391,-7.84268093,0
ZINC000000027806,-7.84253263,0
ZINC000000028785,-7.83850956,0
ZINC000000021399,-7.8304081,0
ZINC000000063600,-7.81602478,0
ZINC000000028700,-7.79953194,0
ZINC000000006271,-7.79850006,0
active_44440985,-7.79691124,1
ZINC000000011665,-7.79244661,0
ZINC000000032488,-7.77687407,0
ZINC000000011282,-7.75704241,0
ZINC000000026944,-7.75332355,0
ZINC000000038304,-7.7359767,0
ZINC000000007258,-7.73423815,0
ZINC000000017106,-7.73284435,0
ZINC000000100133,-7.7263422,0
active_52940990,-7.72488117,1
active_16760696,-7.70961189,1
