ZINC_ID, docking_score,Flag
Active_29a,-13.142,1
Active_14,-11.431,1
Active_12,-11.051,1
Active_28b,-10.875,1
Active_8,-10.744,1
Active_26b,-10.545,1
Active_21b,-10.496,1
Active_24b,-10.445,1
Active_15,-10.38,1
Active_23b,-10.237,1
Active_7,-10.116,1
Active_25b,-9.927,1
Active_10,-9.843,1
Active_22a,-9.841,1
Active_6,-9.786,1
Active_19a,-9.757,1
Active_13,-9.651,1
Active_16,-9.612,1
Active_30b,-9.17,1
P18920669,-9.151,0
Active_18,-8.97,1
P19861103,-8.965,0
P18918283,-8.896,0
P52624622,-8.855,0
C09010220_P24960884,-8.615,0
Active_11,-8.591,1
P69763850,-8.549,0
P19857537,-8.04,0
P120586593,-8.037,0
P13466692,-8.023,0
Active_17,-8.006,1
P135572226,-8.002,0
Active_20,-8.001,1
P142062231,-8,0
P109073718,-7.951,0
P54792603,-7.907,0
P150900094,-7.88,0
P19858212,-7.831,0
P19857715,-7.815,0
P40749592,-7.793,0
C44359941_P66977009,-7.753,0
P10133771,-7.699,0
C62228401_P96021091,-7.682,0
P12496551,-7.665,0
P133512643,-7.559,0
P96477010,-7.502,0
P05531773,-7.496,0
P18116317,-7.484,0
P104266275,-7.434,0
P92031931,-7.434,0
C32911481_P48721255,-7.395,0
C68592379_P105263765,-7.355,0
P148350304,-7.319,0
P25479590,-7.284,0
C77312056_P120616609,-7.269,0
C13189751_P19883301,-7.257,0
P155545897,-7.257,0
P70719467,-7.255,0
P156227318,-7.253,0
C77300830_P120597440,-7.235,0
P147556018,-7.204,0
P101775451,-7.185,0
P127728226,-7.172,0
P130244311,-7.169,0
P30471686,-7.167,0
P56754989,-7.166,0
P80033821,-7.11,0
P62126094,-7.048,0
P20522466,-7.047,0
C09010219_P24960881,-6.977,0
P105261680,-6.977,0
P155651180,-6.977,0
P155580781,-6.975,0
P19874972,-6.963,0
P130144289,-6.947,0
P10133814,-6.945,0
C72474869_P112752004,-6.942,0
P156203516,-6.902,0
P156201163,-6.892,0
C16919769_P25479051,-6.888,0
C16926491_P25486232,-6.878,0
P154705054,-6.87,0
P70719438,-6.86,0
P112401911,-6.858,0
C15044757_P70719431,-6.836,0
P148350302,-6.827,0
C13212637_P19919248,-6.789,0
P136099222,-6.784,0
C35397918_P99243706,-6.775,0
P70719460,-6.751,0
P109061531,-6.742,0
P62126133,-6.71,0
P56815494,-6.709,0
P70719425,-6.709,0
P56817628,-6.681,0
P56896530,-6.681,0
C15044881_P70719464,-6.678,0
P123709876,-6.673,0
P49378209,-6.667,0
P57408221,-6.667,0
C15044926_P70720580,-6.662,0
P21406500,-6.661,0
P13605675,-6.652,0
P155658935,-6.636,0
P13487798,-6.621,0
P18902537,-6.611,0
C22918385_P74681124,-6.607,0
C98234249_P156237708,-6.602,0
C15044929_P70719480,-6.592,0
P155564546,-6.592,0
P13112832,-6.59,0
P156227320,-6.584,0
P13085440,-6.578,0
C59677339_P90919024,-6.573,0
C32789745_P133897172,-6.568,0
C59677339_P90919677,-6.567,0
P14405913,-6.542,0
P19938713,-6.541,0
P21406498,-6.536,0
P123709756,-6.526,0
P122302695,-6.516,0
P52926869,-6.506,0
P123700609,-6.503,0
P69764195,-6.484,0
C33615137_P154441790,-6.476,0
C96276401_P151751787,-6.44,0
C16291032_P24652469,-6.437,0
C16291032_P24652466,-6.436,0
C71276018_P110174204,-6.415,0
P62126101,-6.413,0
P78230059,-6.398,0
P125311025,-6.394,0
P05565099,-6.379,0
P60484305,-6.379,0
P123709485,-6.37,0
C31961901_P48095791,-6.351,0
P135208035,-6.344,0
P109060407,-6.312,0
C15163251_P32774750,-6.309,0
C06458614_P10130743,-6.305,0
C38509250_P58275571,-6.304,0
C12507892_P18380659,-6.296,0
C13914260_P21419245,-6.292,0
P126541273,-6.291,0
P05531768,-6.288,0
P109060511,-6.285,0
P33095384,-6.275,0
P156228352,-6.267,0
P89354063,-6.266,0
P153982584,-6.254,0
C37156348_P55258049,-6.232,0
P111975645,-6.222,0
P125502417,-6.216,0
C13366405_P20522729,-6.206,0
P64657892,-6.19,0
P107299081,-6.181,0
P05634166,-6.179,0
P06171167,-6.178,0
P147746808,-6.171,0
P109028512,-6.166,0
P70719448,-6.161,0
P70719466,-6.153,0
C33259904_P49191653,-6.145,0
P150687163,-6.142,0
C33259904_P98961363,-6.141,0
C77311502_P120615721,-6.14,0
P128190427,-6.133,0
P70719440,-6.127,0
C59677336_P90919673,-6.123,0
P109074822,-6.116,0
P109077578,-6.112,0
Active_31,-6.11,1
P19919367,-6.109,0
P151223865,-6.108,0
P156232924,-6.106,0
C69272599_P106552312,-6.102,0
P109090326,-6.095,0
P19872892,-6.094,0
P52653784,-6.089,0
C07339246_P11399076,-6.081,0
P147843171,-6.078,0
P55901483,-6.078,0
C16545926_P24998683,-6.072,0
C83324959_P130313029,-6.052,0
P69763923,-6.045,0
P33705341,-6.038,0
P109081341,-6.022,0
P14286858,-6.019,0
P78230061,-6.017,0
C04955303_P20145241,-6.006,0
P109061660,-6.006,0
P155781849,-6.001,0
Active_34,-5.99,1
P109061997,-5.976,0
P19873851,-5.968,0
P56810374,-5.967,0
P75411773,-5.964,0
P67727778,-5.961,0
C35227734_P152614730,-5.958,0
C72301109_P112367715,-5.951,0
C20906715_P31261910,-5.95,0
C70701109_P109080754,-5.945,0
C15934773_P30563320,-5.945,0
C72378041_P112551604,-5.941,0
P123709956,-5.938,0
P36486943,-5.935,0
C13189835_P19850573,-5.933,0
C57710753_P86764562,-5.933,0
P13619009,-5.932,0
C83324956_P130313015,-5.927,0
P155518094,-5.925,0
P156249226,-5.923,0
C13079376_P19298581,-5.916,0
C41676510_P63175935,-5.915,0
P141810477,-5.905,0
P155552763,-5.901,0
P88246262,-5.901,0
C98005953_P155667495,-5.9,0
P04873730,-5.898,0
C25674200_P37931564,-5.896,0
P63960872,-5.896,0
P52439682,-5.895,0
C97970702_P155585067,-5.894,0
P14706460,-5.894,0
C09007632_P29989291,-5.891,0
P62139987,-5.889,0
P135193783,-5.881,0
P56896497,-5.871,0
C72132266_P111980299,-5.867,0
P155781231,-5.862,0
P57416971,-5.858,0
C42331152_P64027689,-5.844,0
P14960117,-5.84,0
P126230207,-5.839,0
P05452095,-5.836,0
P30284317,-5.834,0
C54753529_P82404175,-5.825,0
C09452819_P30186656,-5.823,0
C10586614_P16008966,-5.82,0
C97198281_P153911186,-5.816,0
P14887003,-5.816,0
P60201913,-5.816,0
C94483113_P148089993,-5.811,0
P155570122,-5.811,0
P20505014,-5.811,0
P24106859,-5.809,0
C39849631_P60472935,-5.807,0
C08845544_P76823857,-5.793,0
P153029959,-5.793,0
C35484283_P52667001,-5.791,0
P120575577,-5.791,0
P140553476,-5.791,0
P58681382,-5.791,0
P128166470,-5.79,0
C33808503_P50103063,-5.787,0
P147711905,-5.783,0
C59735578_P91038466,-5.781,0
P155775647,-5.774,0
P62140154,-5.773,0
C20393255_P30386357,-5.771,0
P53507302,-5.769,0
P154494020,-5.763,0
C34917432_P51831698,-5.76,0
C20161182_P30022143,-5.76,0
P147796429,-5.759,0
C25179950_P37242426,-5.757,0
C39206463_P59402020,-5.756,0
C19460597_P56663275,-5.748,0
P25551531,-5.744,0
P135212174,-5.74,0
C08637198_P150498535,-5.738,0
P134919116,-5.735,0
P14886999,-5.734,0
C40368488_P61283017,-5.73,0
C20801436_P31033035,-5.729,0
C33530383_P49667902,-5.726,0
P131840624,-5.726,0
Active_4a,-5.725,1
C55007700_P152627013,-5.724,0
C33770688_P50039679,-5.722,0
C44781143_P115585163,-5.716,0
P25478676,-5.714,0
P154172258,-5.711,0
C20424158_P30443574,-5.71,0
P73132788,-5.71,0
P141757631,-5.704,0
P32811578,-5.701,0
C33769082_P50037786,-5.7,0
P19873847,-5.699,0
P35837794,-5.699,0
C33375899_P49419850,-5.698,0
C27749215_P74976178,-5.698,0
P90106070,-5.692,0
C70664612_P109011946,-5.69,0
P123051278,-5.678,0
C64219197_P98547147,-5.672,0
C19879899_P29552853,-5.671,0
C20831086_P31104388,-5.67,0
C39849564_P60469249,-5.67,0
C09243149_P14163107,-5.669,0
C02952076_P56817491,-5.662,0
P13592696,-5.661,0
P114135404,-5.659,0
P13682372,-5.657,0
P155909355,-5.656,0
P57534206,-5.655,0
C98090810_P155912892,-5.654,0
P152070448,-5.652,0
C73836723_P115007729,-5.649,0
P13499972,-5.647,0
C19357398_P28619995,-5.643,0
P154399278,-5.641,0
P59583130,-5.64,0
P79826506,-5.64,0
C31375350_P46228353,-5.638,0
P112425169,-5.637,0
P109075308,-5.636,0
C38509242_P58275554,-5.635,0
