Ligand,Score,Flag
1T32,-10.2236185,1
44378519,-10.0579081,1
ZINC000000020083,-9.5965271,0
ZINC000000017041,-9.46284962,0
1KYN,-9.09044552,1
ZINC000000028964,-9.06344604,0
10619385,-9.04592037,1
9830518,-8.92217636,1
ZINC000000019626,-8.88599491,0
ZINC000000075372,-8.79517365,0
ZINC000000006514,-8.62836647,0
ZINC000000038964,-8.62734604,0
ZINC000000622029,-8.61719131,0
ZINC000000016704,-8.56014347,0
ZINC000000072850,-8.54506493,0
ZINC000000390786,-8.54382896,0
ZINC000000069296,-8.53303337,0
ZINC000000157038,-8.51069355,0
ZINC000000009278,-8.47965336,0
10497621,-8.46342468,1
ZINC000000007519,-8.44452667,0
ZINC000000018157,-8.43278313,0
ZINC000000406539,-8.42982197,0
ZINC000000067072,-8.42004204,0
ZINC000000079054,-8.41533566,0
10497407,-8.40774345,1
ZINC000000061790,-8.39644146,0
ZINC000000003046,-8.39600086,0
10714430,-8.38319778,1
10593313,-8.37843037,1
ZINC000000032492,-8.35153961,0
ZINC000000028489,-8.34630775,0
9798519,-8.32243538,1
56683634,-8.31540394,1
ZINC000000001761,-8.30849266,0
ZINC000000207337,-8.29245758,0
ZINC000000006998,-8.27682304,0
ZINC000000004093,-8.26782703,0
ZINC000000027354,-8.262743,0
ZINC000000027771,-8.26188755,0
10524714,-8.26032066,1
ZINC000000626159,-8.24859524,0
ZINC000000000554,-8.24095917,0
ZINC000000073237,-8.23696804,0
ZINC000000001756,-8.21857262,0
44378491,-8.21402836,1
ZINC000000055903,-8.2085495,0
ZINC000000073004,-8.2075119,0
ZINC000000009177,-8.20082664,0
ZINC000000028682,-8.19798183,0
10620089,-8.18614101,1
ZINC000000047495,-8.18309689,0
ZINC000000008650,-8.17612934,0
ZINC000000002555,-8.17359161,0
737680,-8.14825249,1
ZINC000000722460,-8.14647865,0
3245662,-8.14636612,1
ZINC000000192440,-8.12222576,0
ZINC000000017104,-8.11709881,0
ZINC000000039411,-8.08211517,0
56673659,-8.0812664,1
ZINC000000005411,-8.07759953,0
ZINC000000624604,-8.07726288,0
ZINC000000003595,-8.07350922,0
ZINC000000002824,-8.06630993,0
ZINC000000623589,-8.06439972,0
ZINC000000035911,-8.05562592,0
24800541,-8.04677868,1
ZINC000000010547,-8.04464245,0
ZINC000000023732,-8.02636528,0
ZINC000000008694,-8.02552795,0
ZINC000000439919,-8.02197933,0
ZINC000001033895,-8.01550293,0
ZINC000000033927,-7.99312592,0
ZINC000000007258,-7.98746157,0
ZINC000000034600,-7.96679068,0
ZINC000000032029,-7.96047401,0
ZINC000000093538,-7.95971107,0
ZINC000000027962,-7.94129038,0
ZINC000000004875,-7.92267036,0
ZINC000000072125,-7.91640472,0
ZINC000000014481,-7.91474104,0
ZINC000000013635,-7.90039968,0
2201551,-7.89624119,1
ZINC000001088836,-7.88478184,0
ZINC000000046722,-7.87909508,0
ZINC000000134759,-7.86749887,0
ZINC000000007223,-7.86199522,0
ZINC000000084473,-7.84623909,0
ZINC000000033362,-7.84347534,0
ZINC000000606624,-7.83745289,0
ZINC000000009012,-7.83324099,0
ZINC000000006251,-7.83089399,0
ZINC000000006271,-7.82783651,0
ZINC000000024141,-7.82548189,0
25124204,-7.82339478,1
ZINC000000002242,-7.82256126,0
ZINC000000607941,-7.8188343,0
ZINC000000026945,-7.81868267,0
ZINC000000023731,-7.8168025,0
ZINC000000425107,-7.81152964,0
56670149,-7.80213356,1
ZINC000000093655,-7.79636383,0
ZINC000000027969,-7.79552937,0
ZINC000000032888,-7.78995228,0
ZINC000000032767,-7.78570938,0
ZINC000000016979,-7.78178024,0
ZINC000000456677,-7.75422525,0
ZINC000000077157,-7.75102377,0
ZINC000000028976,-7.75040817,0
ZINC000000103235,-7.74802065,0
ZINC000000004257,-7.74774647,0
ZINC000000006865,-7.74697828,0
ZINC000000072118,-7.74305534,0
ZINC000000001391,-7.73395443,0
ZINC000000036500,-7.73266077,0
ZINC000000626161,-7.72888136,0
ZINC000000026404,-7.71648932,0
ZINC000000007303,-7.71577501,0
ZINC000000027806,-7.71499252,0
ZINC000000011282,-7.71180487,0
ZINC000000066473,-7.71004677,0
ZINC000000026994,-7.70277166,0
ZINC000000006369,-7.70179129,0
ZINC000000607777,-7.70103693,0
ZINC000000064193,-7.69449997,0
387447,-7.69264174,1
ZINC000000023124,-7.69069338,0
ZINC000000028954,-7.68483543,0
ZINC000000036398,-7.6838789,0
ZINC000000003047,-7.67795897,0
ZINC000000027772,-7.67734241,0
ZINC000000011270,-7.66912985,0
ZINC000000026403,-7.66405869,0
ZINC000000061783,-7.66314936,0
44378543,-7.65960884,1
ZINC000000191421,-7.65909481,0
ZINC000000011283,-7.65601444,0
10391460,-7.65509653,1
10625780,-7.65509653,1
ZINC000000001974,-7.65429783,0
ZINC000000001009,-7.65301323,0
ZINC000000033925,-7.65263939,0
ZINC000000005803,-7.64918804,0
ZINC000000072920,-7.63891935,0
ZINC000000001768,-7.63139391,0
ZINC000000026396,-7.63079834,0
ZINC000000018317,-7.62183523,0
ZINC000000034723,-7.61704111,0
ZINC000000001714,-7.61671162,0
ZINC000000027596,-7.61636877,0
ZINC000000658756,-7.61380148,0
ZINC000000033690,-7.61256456,0
ZINC000000012779,-7.6116643,0
ZINC000000040710,-7.60929346,0
ZINC000000000744,-7.60777617,0
ZINC000000623596,-7.59681511,0
56666720,-7.59430456,1
ZINC000000015251,-7.59272242,0
ZINC000000032062,-7.58608103,0
ZINC000000022166,-7.57986307,0
ZINC000000601833,-7.57973051,0
ZINC000000006892,-7.57767916,0
9800909,-7.57029438,1
ZINC000000105206,-7.56944466,0
ZINC000000086060,-7.56894588,0
ZINC000000608243,-7.56408787,0
ZINC000000009851,-7.54816008,0
ZINC000000050801,-7.54323626,0
ZINC000000028679,-7.54108334,0
ZINC000000027973,-7.54035282,0
ZINC000000000504,-7.53943062,0
ZINC000000002053,-7.53673649,0
ZINC000000001860,-7.52794456,0
ZINC000000002110,-7.52683449,0
ZINC000000052891,-7.52530909,0
ZINC000000024632,-7.52446461,0
ZINC000000038101,-7.52038288,0
ZINC000000072203,-7.51562309,0
ZINC000000579623,-7.51363945,0
ZINC000000024638,-7.51237583,0
ZINC000000369078,-7.50917482,0
ZINC000000005324,-7.50749731,0
ZINC000000006787,-7.5066824,0
ZINC000000061804,-7.49549675,0
ZINC000000072244,-7.49533463,0
ZINC000000073765,-7.49505281,0
ZINC000000007374,-7.49224091,0
ZINC000000034127,-7.4703207,0
ZINC000000059976,-7.46721458,0
ZINC000000048436,-7.4662509,0
ZINC000000053162,-7.46452808,0
ZINC000000032749,-7.46446133,0
ZINC000000000562,-7.4616642,0
ZINC000000001518,-7.46048975,0
ZINC000000043466,-7.45138359,0
ZINC000000032100,-7.4444499,0
ZINC000000487850,-7.43815994,0
ZINC000000012631,-7.4373579,0
ZINC000000006266,-7.43448591,0
ZINC000000027720,-7.43418837,0
ZINC000000073803,-7.42938709,0
ZINC000000624751,-7.425951,0
ZINC000000050797,-7.42348623,0
ZINC000000046274,-7.41949558,0
ZINC000000015200,-7.41830778,0
ZINC000000022608,-7.41643333,0
ZINC000000006846,-7.40847158,0
ZINC000000004400,-7.40337515,0
ZINC000000023697,-7.40097904,0
ZINC000000061167,-7.39926386,0
ZINC000000032970,-7.39767885,0
ZINC000000007633,-7.39069414,0
ZINC000000005081,-7.377388,0
ZINC000000025212,-7.36817217,0
56673658,-7.36513853,1
ZINC000000000517,-7.36069822,0
ZINC000000068428,-7.35988569,0
ZINC000000014915,-7.35032845,0
ZINC000000095465,-7.35032129,0
ZINC000000057703,-7.345963,0
ZINC000000002097,-7.34545898,0
ZINC000000038132,-7.34218597,0
ZINC000000002285,-7.34150887,0
ZINC000000087025,-7.3412118,0
ZINC000000023696,-7.34109449,0
ZINC000000028996,-7.34098673,0
ZINC000000623697,-7.33917475,0
ZINC000000070696,-7.33601427,0
ZINC000000440859,-7.33551931,0
ZINC000000059988,-7.33500004,0
ZINC000000007339,-7.33366251,0
ZINC000000132531,-7.33338404,0
ZINC000000014070,-7.32912064,0
3492365,-7.32508421,1
ZINC000000011647,-7.32500696,0
ZINC000000004091,-7.32440805,0
ZINC000000025797,-7.32217121,0
ZINC000000058403,-7.3167944,0
ZINC000000058801,-7.31501961,0
ZINC000000003963,-7.31377459,0
ZINC000000073950,-7.31329679,0
ZINC000000342268,-7.311759,0
ZINC000000006638,-7.30904341,0
ZINC000000072216,-7.30769825,0
91935165,-7.30535984,1
ZINC000000048263,-7.30292082,0
ZINC000000007048,-7.30167913,0
ZINC000000072843,-7.29220009,0
ZINC000000003902,-7.28977871,0
ZINC000000052413,-7.28838778,0
ZINC000000038226,-7.28046036,0
ZINC000000001536,-7.27602625,0
296003,-7.27446461,1
ZINC000000042028,-7.26346254,0
ZINC000000002016,-7.26289415,0
ZINC000000036460,-7.26109171,0
ZINC000000007623,-7.25326538,0
ZINC000000021620,-7.25305653,0
ZINC000000016970,-7.25087452,0
ZINC000000023698,-7.25052071,0
ZINC000000054394,-7.24806547,0
ZINC000000038133,-7.24623823,0
ZINC000000072982,-7.24232721,0
ZINC000000054608,-7.24154902,0
ZINC000000025159,-7.24050379,0
ZINC000000132726,-7.23890686,0
ZINC000000538392,-7.23452044,0
ZINC000000046096,-7.22669744,0
ZINC000000000969,-7.22362709,0
ZINC000000004009,-7.22161722,0
ZINC000000115806,-7.2183156,0
ZINC000000024367,-7.21383953,0
ZINC000000147650,-7.2108674,0
ZINC000000002617,-7.21060705,0
ZINC000000040832,-7.21024227,0
ZINC000000009967,-7.20544958,0
ZINC000000000397,-7.1986804,0
ZINC000000049230,-7.18709993,0
ZINC000000009203,-7.16766405,0
ZINC000000068381,-7.15226221,0
ZINC000000009061,-7.14676619,0
ZINC000000000672,-7.14608145,0
ZINC000000000390,-7.1454134,0
ZINC000000001735,-7.12555885,0
ZINC000000028276,-7.125072,0
ZINC000000004046,-7.12484646,0
ZINC000000017028,-7.1213131,0
ZINC000000000707,-7.11901045,0
ZINC000000036908,-7.11816597,0
ZINC000000003681,-7.11691904,0
ZINC000001030597,-7.11575985,0
ZINC000000009181,-7.11121702,0
ZINC000000036827,-7.10740995,0
10038543,-7.10650539,1
ZINC000000034936,-7.10615921,0
ZINC000000157222,-7.10248995,0
ZINC000000141247,-7.10031748,0
ZINC000000008881,-7.09776449,0
ZINC000000032831,-7.0966692,0
ZINC000000042030,-7.09227371,0
ZINC000000050306,-7.09018517,0
ZINC000000009033,-7.08796835,0
ZINC000000061241,-7.08543825,0
ZINC000000625959,-7.08204889,0
ZINC000000141390,-7.08160162,0
ZINC000000000011,-7.0784111,0
ZINC000000004065,-7.07644749,0
ZINC000000012513,-7.07641935,0
ZINC000000074694,-7.0743866,0
ZINC000000567214,-7.06210566,0
ZINC000000368462,-7.06144476,0
ZINC000000035526,-7.05644464,0
ZINC000000098987,-7.04556417,0
ZINC000000040425,-7.0448966,0
ZINC000000147263,-7.04202986,0
ZINC000000022752,-7.03770161,0
ZINC000000036463,-7.03527498,0
ZINC000000005395,-7.03524017,0
ZINC000000166589,-7.03416538,0
ZINC000000001718,-7.02815962,0
ZINC000000023249,-7.02044821,0
ZINC000000090980,-7.00905037,0
ZINC000000137061,-7.00274754,0
ZINC000000073730,-6.99833775,0
ZINC000000034411,-6.99732161,0
ZINC000000048678,-6.99359894,0
ZINC000000007280,-6.98973703,0
ZINC000000039414,-6.9849,0
ZINC000000005789,-6.97439718,0
ZINC000000039280,-6.97412729,0
ZINC000000046891,-6.97038507,0
ZINC000000000088,-6.96662378,0
ZINC000000651678,-6.96312094,0
ZINC000000004177,-6.95650196,0
91935167,-6.95480442,1
ZINC000000003174,-6.94744492,0
ZINC000000573029,-6.94463015,0
ZINC000000022558,-6.94316006,0
ZINC000000034392,-6.94142103,0
ZINC000000057555,-6.93988466,0
ZINC000000066259,-6.93968248,0
ZINC000000007547,-6.9165206,0
ZINC000000002825,-6.90354776,0
ZINC000000986418,-6.90014982,0
ZINC000000035876,-6.89900827,0
ZINC000000016470,-6.89782,0
ZINC000000079409,-6.89109802,0
ZINC000000009818,-6.8908,0
ZINC000000000172,-6.88796902,0
ZINC000000021418,-6.88570833,0
ZINC000000000975,-6.87679052,0
ZINC000000001658,-6.87488985,0
ZINC000000007013,-6.87216949,0
ZINC000000008582,-6.86333513,0
ZINC000000000316,-6.86194229,0
ZINC000000008626,-6.85276079,0
ZINC000000054240,-6.85183287,0
