Compound,Score,Flag
11453471,-10.46,1
10146470,-9.32,1
90657067,-8.82,1
ZINC000000037476,-8.2,0
44316486,-8.14,1
90657062,-8.13,1
46853735,-7.87,1
10258388,-7.72,1
46853713,-7.69,1
46853668,-7.64,1
ZINC000000100702,-7.6,0
46843039,-7.58,1
46853691,-7.58,1
ZINC000000003880,-7.56,0
ZINC000000037485,-7.55,0
46853762,-7.47,1
ZINC000000001122,-7.46,0
46853712,-7.45,1
ZINC000000002757,-7.45,0
46853711,-7.42,1
46853689,-7.4,1
46853640,-7.38,1
ZINC000000000913,-7.26,0
46853739,-7.24,1
53322017,-7.23,1
46853763,-7.2,1
46853710,-7.18,1
46853734,-7.14,1
46853764,-7.12,1
ZINC000000000757,-7.12,0
ZINC000000002095,-7.12,0
ZINC000000531699,-7.11,0
ZINC000000036321,-7.09,0
ZINC000000000554,-7.06,0
ZINC000000075372,-7.06,0
ZINC000000074470,-7.05,0
ZINC000000036827,-7.03,0
ZINC000000021904,-7.01,0
ZINC000000005885,-6.98,0
46853687,-6.96,1
ZINC000000110652,-6.92,0
46853663,-6.91,1
46853766,-6.89,1
ZINC000000068469,-6.88,0
ZINC000000041635,-6.83,0
ZINC000000001071,-6.81,0
46853765,-6.8,1
ZINC000000041462,-6.78,0
ZINC000000031872,-6.77,0
ZINC000000059340,-6.77,0
ZINC000000033262,-6.76,0
ZINC000000004875,-6.75,0
ZINC000000004029,-6.74,0
ZINC000000091139,-6.73,0
ZINC000000062958,-6.72,0
ZINC000000084465,-6.72,0
ZINC000000607777,-6.72,0
12222541,-6.7,1
46853690,-6.7,1
46853738,-6.7,1
ZINC000000009200,-6.7,0
ZINC000000008582,-6.69,0
10316093,-6.68,1
ZINC000000125168,-6.68,0
ZINC000000001518,-6.66,0
ZINC000000002755,-6.66,0
ZINC000000074581,-6.65,0
ZINC000000023472,-6.64,0
ZINC000000042153,-6.61,0
ZINC000000032624,-6.6,0
ZINC000000028228,-6.58,0
ZINC000000042180,-6.58,0
ZINC000000059283,-6.58,0
ZINC000000110912,-6.56,0
ZINC000000003750,-6.55,0
ZINC000000032831,-6.55,0
ZINC000000036299,-6.55,0
ZINC000000361659,-6.55,0
ZINC000000033221,-6.54,0
ZINC000000055903,-6.54,0
ZINC000000001280,-6.53,0
ZINC000000002209,-6.52,0
ZINC000000040758,-6.52,0
ZINC000000002645,-6.51,0
ZINC000000407185,-6.51,0
ZINC000000049140,-6.5,0
ZINC000000000560,-6.49,0
ZINC000000012765,-6.49,0
ZINC000000034690,-6.49,0
ZINC000000073730,-6.49,0
ZINC000000030319,-6.48,0
ZINC000000061233,-6.48,0
ZINC000000001130,-6.47,0
ZINC000000002754,-6.47,0
ZINC000000000603,-6.45,0
ZINC000000031444,-6.45,0
ZINC000000031821,-6.45,0
ZINC000000626161,-6.45,0
ZINC000000008690,-6.44,0
ZINC000000009181,-6.44,0
