ID,5r8t,5r81,5rez,5rf7,5rgi,5rh3,6lu7,7buy,MIN
3V3M_lig,-2.8,-3.25,-4.435,-5.017,-4.772,-4.185,-3.792,-2.81,-5.017
Flavonoid_82a,-5.37,-6.152,-7.091,-7.338,-5.39,-6.15,-8.186,-6.088,-8.186
Flavonoid_83a,,-6.527,-6.443,-7.275,-5.261,-5.688,,-6.054,-7.275
Flavonoid_86a,-4.962,-6.406,-6.178,-5.694,-4.382,-4.628,-6.652,-6.868,-6.868
Flavonoid_87a,-5.589,-7.131,-6.578,-6.398,-5.214,-6.174,-7.283,-6.877,-7.283
Flavonoid_88a,-4.139,-4.255,-4.845,-5.286,-4.02,-5.178,-6.707,-5.546,-6.707
Flavonoid_89a,-3.909,-7.07,-5.609,-6.627,-5.425,-4.128,-6.464,-6.275,-7.07
Flavonoid_90a,-5.202,-6.274,-6.066,-7.304,-6.505,-6.105,-8.223,-5.83,-8.223
Imidazole_134,-4.01,-5.241,,-5.72,-3.556,-5.088,-5.82,-4.65,-5.82
Isatin_75,-6.087,-6.214,-6.527,-6.339,-5.272,-5.467,-5.725,-6.286,-6.527
Isatin_76,-5.638,-6.438,-5.883,-6.592,-4.744,-5.268,-6.692,-5.295,-6.692
Isatin_77,-6.223,-7.168,-6.443,-7.332,-6.55,-6.215,-6.294,-6.159,-7.332
Isatin_78,-5.604,-6.777,-5.982,-6.609,-6.044,-5.739,-6.057,-5.599,-6.777
Isatin_79,-6.151,,-6.661,,-6.464,-6.381,-6.688,-6.389,-6.688
Isatin_80,-5.654,-6.878,-6.153,-6.656,-5.601,-5.802,-5.478,-5.358,-6.878
Isatin_81,-5.347,-6.511,-6.891,-7.091,-5.438,-4.894,-5.668,-6.372,-7.091
Misc_180,-5.421,-5.968,-5.828,-5.333,-5.74,-5.443,-5.73,-5.938,-5.968
Misc_181a,-5.136,-6.583,-6.59,-5.992,-4.71,-6.003,-4.864,-6.16,-6.59
Misc_182,-4.813,-6.261,-6.248,-6.833,-6.347,-4.678,-6,-5.904,-6.833
Misc_183,-4.751,-6.473,-5.865,-6.545,,,-5.122,-7.058,-7.058
Misc_184,-6.069,-6.425,-5.611,-6.419,-5.418,-5.869,-6.148,-6.265,-6.425
Misc_189a,-4.666,-6.171,-5.336,-5.845,-4.794,-5.42,-6.171,-5.274,-6.171
Pyrazolone_133a,-4.592,-6.496,-6.493,-5.582,-4.865,-5.324,-4.774,-5.935,-6.496
Pyrazolone_135a,-4.409,-5.115,-4.4,-5.816,-3.317,-2.314,-5.87,-5.292,-5.87
Pyrazolone_136a,-4.196,-4.757,-5.108,-5.979,-4.83,-5.309,-5.663,-5.431,-5.979
Pyrazolone_137a,-4.144,-4.713,-3.856,-5.937,-4.415,-3.353,-5.438,-4.677,-5.937
Pyridine_129,-4.779,-6.035,-6.135,-5.512,-5.287,-5.571,-5.313,-5.698,-6.135
Pyridine_130,-4.817,-5.929,-6.014,-5.241,-5.091,-5.904,-5.258,-5.334,-6.014
Pyridine_131a,-6.01,-6.311,-6.212,-5.392,-5.754,-5.808,-5.155,-5.574,-6.311
Pyridine_132,-5.935,-5.372,-6.336,-6.053,-5.502,-5.845,-5.12,-5.533,-6.336
Pyrimidine_110,-5.612,-5.9,-5.423,-6.285,-5.776,-4.425,-5.447,-5.9,-6.285
Pyrimidine_139,-5.839,-6.676,-7.346,-7.16,-6.449,-5.639,-5.812,-6.539,-7.346
Pyrimidine_140a,-5.639,-5.888,-6.261,-5.987,-5.665,-5.187,-5.388,-5.907,-6.261
Sulfone_103,-4.161,-4.159,-5.208,-4.71,-4.866,-4.038,,-5.37,-5.37
Terpene_100,-5.73,-7.045,,-7.547,-6.272,-6.191,-5.355,-7.061,-7.547
Terpene_99,-3.687,-3.907,-4.31,-4.037,-2.667,-2.911,-2.415,-4.998,-4.998
Thiophene_106,-5.182,-6.633,-5.941,-6.925,-3.561,-5.577,-7.172,-5.401,-7.172
Thiophene_108,-5.799,-7.198,-6.839,-6.653,-5.764,-4.546,-6.075,,-7.198
Triazole_104,-4.871,-5.789,-6.095,-6.047,-4.913,-4.849,-5.545,-5.286,-6.095
