ID,5r8t,5r81,5rez,5rf7,5rgi,5rh3,6lu7,7buy,MIN
Active_10,-5.343,-6.659,-5.911,-7.702,-7.239,-6.163,-6.697,-7.071,-7.702
Active_11,-5.127,-7.911,-6.293,-7.547,-7.359,-7.082,,-7.385,-7.911
Active_12,-6.864,-7.475,-7.737,-8.344,,-6.783,-6.884,-7.75,-8.344
Active_13,-5.096,-6.273,-5.525,-5.011,-5.126,-6.15,-6.842,-7.199,-7.199
Active_14,-6.81,-7.503,-5.788,-7.661,-5.662,-4.907,-7.826,-7.655,-7.826
Active_15,-6.293,-7.448,-6.815,-8.104,-6.432,-7.169,-7.114,-7.093,-8.104
Active_16,-4.836,-7.308,-5.794,-7.315,-6.311,-6.016,-6.978,-6.536,-7.315
Active_17,-5.521,-7.081,-5.655,-5.94,-6.036,-6.361,-6.513,-7.118,-7.118
Active_18,-6.393,-6.294,-7.079,-7.366,-7.199,-6.359,-7.201,-6.809,-7.366
Active_19a,-5.403,-7.259,-6.616,-7.151,-7.214,-6.488,-6.302,-7.737,-7.737
Active_1a,-4.714,-5.658,-5.932,-5.025,-5.164,-4.341,-5.79,-7.289,-7.289
Active_20,-5.159,-7.094,-5.664,-5.935,-6.147,-6.382,-6.539,-7.121,-7.121
Active_21a,-5.981,-5.377,-6.28,-6.922,-6.118,-4.807,-7.179,-4.961,-7.179
Active_22a,-6.795,-4.583,-5.182,-5.836,-7.257,-5.45,-5.044,-5.587,-7.257
Active_23a,-4.883,-6.817,-5.401,-5.602,-6.015,-6.171,-4.253,-6.086,-6.817
Active_24b,-4.734,-5.209,,-5.521,-5.944,-5.425,-6.491,-7.927,-7.927
Active_25a,-5.216,-5.993,-7.271,-5.228,-6.164,-4.928,-5.93,-6.957,-7.271
Active_26b,-5.118,-6.52,-4.823,-5.268,-5.609,-4.459,-7.753,-6.5,-7.753
Active_27,-7.221,-7.613,-7.066,,-6.147,,-7.571,-7.651,-7.651
Active_28b,-4.949,-5.402,-5.856,-5.571,-6.792,-4.017,-7.262,-7.214,-7.262
Active_29a,-4.636,-5.924,-5.416,-5.403,-7.05,-5.564,-6.834,-7.575,-7.575
Active_2a,-6.025,-5.987,-5.44,-4.777,-5.261,-4.862,-5.741,-7.204,-7.204
Active_30d,-7.012,-7.29,-7.893,-7.097,-5.743,-5.398,-7.555,-6.848,-7.893
Active_31,-5.54,-6.081,-5.582,-6.988,-5.629,-6.401,-6.557,-5.855,-6.988
Active_32,-5.267,-6.913,-5.762,-6.469,-4.81,-5.817,-5.753,-4.986,-6.913
Active_33,-3.858,-5.067,-4.168,-5.19,-3.351,-3.801,-5.158,-3.715,-5.19
Active_34,-5.441,-5.745,-5.634,-7.078,-5.176,-5.259,-6.916,-6.166,-7.078
Active_35,-5.966,-6.455,-5.505,-6.517,-5.432,-5.824,-6.334,-6.1,-6.517
Active_36,-4.837,-5.859,-5.229,-5.929,-4.956,-5.306,-6.225,-5.743,-6.225
Active_37,-3.638,-6.081,-4.978,-6.241,-3.21,-3.629,-4.901,-5.833,-6.241
Active_38,-4.817,-6.681,-5.77,-6.057,-5.546,-5.667,-6.53,-5.793,-6.681
Active_3b,-4.837,-5.975,-5.405,-6.653,-5.158,-4.861,-4.727,-5.441,-6.653
Active_4b,-4.075,-5.159,-5.235,-7.043,-4.413,-4.701,-5.19,-5.471,-7.043
Active_5b,-4.732,-5.444,-6.276,-7.074,-5.61,-4.324,-4.952,-4.891,-7.074
Active_6,-5.8,-6.46,-5.649,-6.797,-4.439,-5.621,-6.833,-5.578,-6.833
Active_7,-4.5,-6.443,-6.183,-6.951,-4.915,-5.979,-6.711,-7.238,-7.238
Active_8,,-6.664,-6.955,-7.528,-6.131,-6.892,-6.341,-7.058,-7.528
Active_9a,-4.925,-7.169,-5.818,-5.59,-4.417,-5.286,-5.567,-6.271,-7.169
