ID,5r8t,5r81,5rez,5rf7,5rgi,5rh3,6lu7,7buy,MIN
44378543,-6.394,-7.09,,-5.88,-6.118,-6.231,-5.397,-7.33,-7.33
56670149,-6.377,-6.582,-7.054,,,-6.936,-5.516,-7.29,-7.29
25124204,-5.926,-6.752,-6.838,-7.803,-6.746,-6.913,-6.415,-7.239,-7.803
56666720,-5.315,-6.853,-6.403,-7.154,-6.388,-6.253,-6.132,-7.066,-7.154
56673659,-5.935,-6.973,-6.874,-7.187,-5.772,-6.745,-6.17,-7.056,-7.187
10038543,-5.847,-6.258,-6.356,-7.547,-5.327,-5.976,-6.402,-7.01,-7.547
737680,-5.441,-6.199,-5.572,-6.997,-5.263,-5.48,-5.612,-6.683,-6.997
2201551,-5.126,-6.462,-6.316,-6.813,-4.304,-5.25,-5.679,-6.596,-6.813
1KYN,,-6.362,-6.879,-6.175,-6.195,-5.633,-5.457,-6.549,-6.879
9798519,-5.982,-6.813,-5.647,-6.57,-4.967,-5.068,-5.247,-6.364,-6.813
91935167,-6.043,-6.95,-6.466,-7.469,-6.954,-5.416,-5.645,-6.277,-7.469
10593313,-6.006,-6.825,-5.192,-6.114,-5.395,-5.98,-5,-6.192,-6.825
10080504,-5.964,-6.362,-6.026,-6.356,-6.046,-5.551,-5.876,-6.141,-6.362
10524714,-5.827,-5.895,-5.193,-6.385,-4.874,-4.993,-5.004,-6.141,-6.385
9800909,-5.367,-6.544,-6.802,-6.925,-5.543,-6.749,-6.89,-6.054,-6.925
3492365,-4.63,-5.692,-5.553,-5.825,-4.627,-6.169,-5.846,-6.038,-6.169
296003,-4.709,-6.132,-5.678,-6.591,-5.074,-4.886,-6.156,-5.862,-6.591
10497407,-6.145,-6.43,-6.568,-6.527,-5.094,-5.284,-5.316,-5.819,-6.568
10497621,-6.104,-6.407,-5.236,-6.385,-5.126,-4.479,-4.642,-5.809,-6.407
387447,-5.71,-6.396,-6.662,-7.2,-6.365,-6.095,-6.457,-5.787,-7.2
91935165,-4.645,-6.134,-6.848,-6.733,-6.492,-6.316,-5.622,-5.782,-6.848
10619385,-5.48,-5.628,-4.61,-6.144,-5.359,-5.49,-5.389,-5.753,-6.144
56683634,-6.089,-6.941,-6.813,-7.425,-5.805,-6.279,-6.761,-5.716,-7.425
3245662,-4.446,-5.586,-5.93,-5.546,-4.162,-4.688,-5.786,-5.533,-5.93
44378519,-4.744,-6.543,-6.272,-5.939,-6.869,-7.152,-7.183,-5.498,-7.183
10620089,-5.851,-6.767,-5.294,-6.663,-4.795,-5.135,-3.93,-5.491,-6.767
9830518,-4.506,-6.582,-7.003,-5.491,-5.301,-3.073,-6.778,-5.481,-7.003
10714430,-5.965,-6.338,-5.596,-6.306,-5.434,-6.035,-5.323,-5.48,-6.338
24800541,-5.627,-7.55,-6.78,-6.939,-4.491,-5.06,-6.346,-5.459,-7.55
44378491,-3.514,,-7.104,-6.445,-5.751,,-7.052,-5.412,-7.104
10391460,-4.329,-6.057,-5.299,-6.806,-3.793,-5.013,-5.738,-4.804,-6.806
10625780,-4.329,-6.057,-5.299,-6.806,-3.793,-5.013,-5.738,-4.804,-6.806
1T32,-4.035,-4.791,,-5.717,-5.867,-4.663,,-4.29,-5.867
56673658,-5.646,-6.85,-6.454,-7.333,-6.431,-7.23,-6.587,,-7.333
