ID,5r8t,5r81,5rez,5rf7,5rgi,5rh3,6lu7,7buy,MIN
46853668,-4.735,-7.259,-7.412,-6.636,-5.408,-5.717,-5.845,-6.439,-7.412
46853766,-4.617,-7.024,-6.45,-7.054,-5.307,-4.715,-6.345,-6.877,-7.054
46853689,-4.909,-7.276,-7.36,-6.46,-5.781,-5.63,-6.362,-7.657,-7.657
53322017,-5.433,-5.761,-5.062,-5.255,-6.789,-5.558,-6.789,-6.779,-6.789
44354936,-2.771,-4.052,-2.032,-4.067,-3.003,-3.533,-6.375,-3.258,-6.375
46853640,-5.519,-7.558,-7.214,-6.941,-6.381,-6.257,-5.836,-7.598,-7.598
10038543,-5.847,-6.258,-6.356,,-5.327,-5.976,-6.402,-7.01,-7.01
46853712,-4.473,-7.607,-6.809,-6.946,-6.453,-4.578,-5.637,-7.717,-7.717
46853663,-5.621,-7.085,-7.165,-6.372,-5.945,-6.012,-5.046,,-7.165
44354968,-3.849,,-5.056,-3.804,-5.783,-3.672,-4.423,-2.012,-5.783
46853735,-5.624,-6.78,-6.278,-7.056,-5.744,-5.189,-5.955,-6.139,-7.056
46853764,-4.438,-7.335,-6.889,-6.954,-7.277,-6.087,-5.484,-7.131,-7.335
46853710,-4.567,-7.037,-6.551,-6.652,,-5.9,-5.728,-7.826,-7.826
46853713,-4.852,-7.059,-6.468,-7.142,-5.87,-5.8,-6.572,-7.394,-7.394
46853738,-4.274,-7.315,-7.363,-6.699,-5.703,-6.311,-6.164,-6.818,-7.363
10258388,-5.462,-5.181,-5.804,-6.744,-5.269,-5.433,-6.365,-7.17,-7.17
46853734,-4.776,-6.927,-5.797,-7.182,-6.642,-5.385,-5.536,-6.826,-7.182
46853690,-4.48,-6.598,-6.27,-6.529,-7.431,-6.358,-5.526,-6.075,-7.431
12222540,-6.018,,-5.902,-5.705,-5.623,-6.004,-6.48,-6.165,-6.48
44316486,-5.617,-6.614,-7.365,-5.678,-6.434,-6.127,-6.065,-5.66,-7.365
46843039,-4.578,-6.583,-6.625,-6.93,-4.206,-5.094,-5.581,-5.415,-6.93
46853763,-5.42,-6.718,-6.858,-6.814,-6.809,-4.941,-5.392,-6.5,-6.858
12222541,,-7.713,-6.788,-7.296,-5.68,-6.626,-6.396,-7.098,-7.713
46853762,-4.912,-7.449,-6.261,-7.185,-6.737,-4.929,-6.053,-6.402,-7.449
46853711,-4.488,-7.105,-6.685,-7.029,-6.846,-5.349,-6.348,-6.858,-7.105
10146470,-4.302,-4.416,-3.674,-5.014,-5.52,,,-4.937,-5.52
11453471,-5.433,-6.043,-5.373,-6.134,-6.272,-5.865,-6.435,-6.008,-6.435
10316093,-6.072,-7.599,-6.121,-6.659,-5.226,-6.086,-5.491,-6.291,-7.599
90657062,-4.792,-5.513,-6.239,-6.155,-5.459,-4.06,-6.221,-5.776,-6.239
53326855,-2.953,-4.756,,-4.689,-3.624,-6.837,-5.374,-5.093,-6.837
90657067,-4.539,-6.64,,-7.216,-4.842,-4.529,-7.041,-6.536,-7.216
46853765,-4.218,-6.83,-5.997,-6.889,-4.716,-4.139,-5.267,-6.504,-6.889
46853687,-4.691,-6.51,-6.412,-6.589,-6.813,-6.146,-5.962,-6.766,-6.813
46853691,-5.279,-6.41,,-6.588,-5.566,-5.966,-5.843,-6.125,-6.588
46853739,-4.363,-6.496,-6.179,-6.576,-7.312,-5.848,-5.7,-6.348,-7.312
