ID,5r8t,5r81,5rez,5rf7,5rgi,5rh3,6lu7,7buy,MIN
2CJI - ligand,-3.652,-6.038,-6.064,-5.24,-5.177,-5.012,-5.42,-5.204,-6.064
3ENS - ligand,-3.194,,-4.741,-6.281,-4.427,-5.195,-5.545,-3.985,-6.281
2Y82 - ligand,-4.396,-6.57,-6.157,-6.142,-5.235,-5.04,-5.448,-4.514,-6.57
1WU1 - ligand,-5,-4.77,-4.831,-4.962,-4.72,-4.061,-4.48,-4.958,-5
2BMG - ligand,-4.425,-7.201,-5.716,-5.155,-6.636,-5.691,-5.285,-6.725,-7.201
3KL6 - ligand,-6.479,-6.416,-5.164,-6.048,-4.635,-6.602,-6.229,-6.451,-6.602
3M37 - ligand,-4.318,-4.985,-5.232,-6.971,-4.088,-4.458,-6.364,-3.516,-6.971
1G2M - ligand,-6.146,-7.804,-6.82,-8.094,-6.215,-5.017,-5.904,-6.008,-8.094
1NFW - ligand,-4.91,-6.87,-5.829,-7.151,-4.968,-5.041,-5.508,-6.287,-7.151
2P94 - ligand,-4.559,-7.558,-5.066,-6.455,-2.632,-4.248,-5.232,-6.396,-7.558
1LPG - ligand,-6.571,-4.811,,-6.693,-3.907,-6.148,-5.891,-5.051,-6.693
2JKH - ligand,-5.25,-6.571,-5.018,-4.889,-4.255,-4.003,-4.847,-4.997,-6.571
1F0S - ligand,-6.057,-6.509,-5.828,-5.395,-4.153,-5.573,-6.26,-5.572,-6.509
1NFU - ligand,-5.25,-7.895,-6.795,-5.754,-4.528,-4.563,-5.257,-5.324,-7.895
4A7I - ligand,-4.687,-5.145,-6.619,-5.781,-5.293,-5.285,-5.141,-5.735,-6.619
2J34 - ligand,-4.721,-6.305,-6.162,-4.923,-6.48,-4.651,-4.843,-4.615,-6.48
1F0R - ligand,-5.185,-6.65,-6.045,-5.15,-5.42,-3.839,-5.921,-5.966,-6.65
1G2L - ligand,-6.265,-6.402,-6.926,-7.845,-5.929,-4.358,-5.163,-5.66,-7.845
2PHB - ligand,-4.004,-7.429,-4.473,-5.93,-3.668,-4.902,-7.61,-5.076,-7.61
1FAX - ligand,-5.682,,-5.548,-7.316,-6.254,-6.411,-6.699,-4.385,-7.316
2J4I - ligand,-2.646,-4.15,-5.005,-5.906,-4.664,-5.364,-5.314,-4.654,-5.906
1EZQ - ligand,-5.708,-6.553,-7.063,-7.405,-5.289,-5.228,-7.56,-5.802,-7.56
3LIW - ligand,-5.599,-4.991,-5.812,-6.575,,-5.826,-5.703,-6.277,-6.575
3CEN - ligand,-4.524,-5.848,-4.287,-4.981,-5.374,-3.818,-6.271,-5.03,-6.271
1MQ5 - ligand,-4.068,-5.915,-6.095,-6.968,-5.73,,-5.516,-4.79,-6.968
1LPZ - ligand,,-7.46,,,-6.057,-6.576,-6.57,-5.442,-7.46
2VH0 - ligand,-4.891,-7.746,-5.456,-6.537,-5.809,-4.288,-6.686,-6.55,-7.746
4BTT - ligand,-1.215,-3.411,-2.874,-4.123,-3.448,-3.985,-6.319,-4.729,-6.319
3SW2 - ligand,-4.903,-5.885,-5.607,-5.784,-5.64,-4.063,-5.535,-4.167,-5.885
2BQ7 - ligand,,,,,,,,,0
1Z6E - ligand,-5.793,-7.578,-6.316,-6.74,-4.641,-5.861,,-5.679,-7.578
1V3X - ligand,-4.354,-3.574,-2.996,-4.104,-3.23,-4.223,-6.008,-4.277,-6.008
2RA0 - ligand,-4.934,-5.939,-5.745,-6.49,-5.38,-6.193,-6.094,-6.392,-6.49
2P93 - ligand,-6.794,-7.673,-6.214,-6.258,-5.356,-4.7,-5.573,-6.769,-7.673
1FJS - ligand,-5.231,-6.885,-7.667,-8.625,-6.483,-6.167,-5.915,-6.267,-8.625
2BQW - ligand,-5.001,-6.632,-6.087,-6.854,-4.889,-6.055,-5.783,,-6.854
