ID,5r8t,5r81,5rez,5rf7,5rgi,5rh3,6lu7,7buy,MIN
23582895,-1.344,-1.344,,-6.266,-6.671,-5.915,-8.275,,-8.275
44563619,-6.958,-6.958,-7.343,-6.819,-6.113,-6.279,-6.701,-5.446,-7.343
44563620,-7.292,-7.292,-8.575,-7.79,-7.995,,-8.255,-6.74,-8.575
44563621,-7.452,-7.452,-5.346,-6.921,-5.596,-5.819,-7.605,-8.152,-8.152
44563622,-7.279,-7.279,-7.248,-8.758,-7.849,-6.382,-7.547,-7.445,-8.758
44563623,,,,,-7.31,-6.759,-8.121,,-8.121
44563624,-6.508,-6.508,-7.905,-8.137,,-5.722,,-6.812,-8.137
44563625,-7.512,-7.512,-7.59,-7.85,-7.719,-5.814,-6.701,-6.959,-7.85
44563626,-6.524,-6.524,-5.005,-7.542,-3.89,-7.129,-6.726,-6.194,-7.542
44563627,-8.005,-8.005,-4.827,-8.475,-6.232,-6.472,-6.472,-5.746,-8.475
44563628,,,,-7.626,-4.804,-5.679,-6.381,-6.218,-7.626
44563629,-7.676,-7.676,-6.939,-7.174,-7.188,-7.293,-7.949,-5.327,-7.949
44563630,,,,-8.068,-3.674,-5.964,-7.87,-8.593,-8.593
44563631,,,,-10.038,,-3.23,-8.608,,-10.038
44563632,,,,-5.647,,,-8.537,,-8.537
44563633,,,,-8.241,-5.528,-5.045,-6.748,0.469,-8.241
44563634,,,,-5.658,,-3.575,-8.526,,-8.526
44563635,-6.73,-6.73,,-7.846,-2.91,-4.247,-7.375,-4.043,-7.846
44563636,,,-6.064,-4.397,,-2.464,-6.657,-6.38,-6.657
44563637,,,,-7.979,,0.88,-7.795,,-7.979
44563638,-1.703,-1.703,,-7.033,,,-6.903,,-7.033
44563639,-5.643,-5.643,,-7.529,,-4.246,-7.433,,-7.529
44563640,,,,-5.824,,-0.564,-7.096,,-7.096
44563641,,,2.124,-6.59,-7.347,-6.395,-7.354,-3.988,-7.354
44563642,-5.301,-5.301,,-7.226,-4.02,-5.413,-9.598,-3.851,-9.598
