ID,5r8t,5r81,5rez,5rf7,5rgi,5rh3,6lu7,7buy,MIN
10995244,-5.591,-6.723,-6.392,-6.802,-6.833,-6.145,-6.091,-5.021,-6.833
10896771,-4.3,-6.307,-6.475,-6.658,-5.631,-5.448,-6.071,-5.152,-6.658
10208564,-4.811,-5.983,-7.456,-6.819,-7.424,,-6.276,-6.316,-7.456
91934633,-6.352,-7.421,-6.704,-6.239,-6.413,-6.292,-7.422,-6.936,-7.422
9850497,-3.902,-5.841,-7.185,-6.061,-4.968,-6.224,-5.738,-7.224,-7.224
44380417,-4.681,,-4.853,-5.57,-1.106,-4.367,-5.445,-5.883,-5.883
11330177,-4.593,-5.618,-6.439,-6.394,-4.685,-3.605,-5.979,-4.75,-6.439
9871765,-4.384,-7.621,-7.588,,-7.424,-7.945,-7.609,-6.672,-7.945
10188053,-4.593,-7.412,-7.418,-6.651,-6.09,-7.16,-4.968,-6.534,-7.418
53317095,-5.27,-7.177,-6.587,-6.52,-5.641,-5.132,-6.072,-6.229,-7.177
10165288,-7.006,-6.601,-7.108,-6.631,-5.529,-5.173,-5.604,-7.055,-7.108
44284992,-3.618,-5.647,-3.956,-6.397,-5.208,-3.33,-5.358,-5.546,-6.397
10119483,-6.414,-8.246,-7.367,-5.956,-6.737,-4.356,-5.317,-7.347,-8.246
44285119,-4.232,,-2.653,-5.458,-3.775,-2.843,-5.36,-4.99,-5.458
10074165,,-7.673,-6.402,-6.512,-6.874,-5.135,-7.605,-6.211,-7.673
10119176,-4.695,-7.777,-7.395,-6.114,-4.853,-6.216,-4.325,-6.329,-7.777
44285281,,-3.949,-6.637,-6.703,-5.897,-5.577,-5.408,-7.185,-7.185
10121908,-4.595,-6.477,-6.366,-6.463,-6.683,-5.136,-5.704,0.299,-6.683
9850077,-6.352,-6.912,-6.386,-7.558,-6.171,-5.833,-5.87,-6.23,-7.558
656916,-6.428,,-6.731,-5.992,-7.131,-5.98,-7.499,-7.447,-7.499
9807737,-6.022,-6.664,,-6.238,-5.631,-5.409,-4.502,-5.213,-6.664
23646612,-4.914,-6.814,-5.789,-6.358,-6.258,-5.697,-6.924,,-6.924
10279315,-5.471,-7,-6.109,-6.853,-7.331,-5.949,,-7.298,-7.331
10119957,-4.953,-5.623,-5.051,-6.163,-4.582,-6.61,-6.988,-5.037,-6.988
11168914,-4.318,-6.34,-6.136,-6.126,-5.213,-4.285,-6.644,-7.47,-7.47
11365611,-4.623,,-5.195,-5.319,-4.495,-3.915,-7.673,-6.189,-7.673
44264746,-5.013,-8.377,-5.776,-7.244,,-6.046,-6.682,-5.834,-8.377
73355715,-4.931,-6.101,-5.184,-6.362,-5.912,-4.262,-7.438,-7.832,-7.832
44285253,-1.665,-3.901,-2.166,-4.036,-6.208,-5.296,-6.247,-6.2,-6.247
11146027,-4.494,-5.118,-6.393,-7.15,-5.054,-6.039,-4.785,-7.212,-7.212
44285211,-3.745,-4.174,-5.948,-4.658,-4.811,-3.996,-5.79,-5.599,-5.948
10208075,-6.279,-7.149,-7.328,-5.856,-6.952,-5.719,-6.119,-7.961,-7.961
10280794,-4.722,-5.829,-5.17,-7.212,-5.623,-8.035,-6.543,-6.33,-8.035
10303315,-4.583,-6.462,-5.92,-6.101,-4.633,-6.367,-5.782,-5.548,-6.462
