ID,5r8t,5r81,5rez,5rf7,5rgi,5rh3,6lu7,7buy,MIN
45265913,-4.687,-7.51,-6.479,-5.664,-6.244,-6.069,-7.158,-7.169,-7.51
52942184,-3.609,-5.86,-5.807,-4.733,-5.43,-4.534,-5.295,-5.163,-5.86
52943029,,,,,,,,,0
52944213,,,,,,,,,0
756803,-4.844,-7.005,-6.541,-5.204,-6.352,-4.821,-6.528,-6.807,-7.005
44440967,-4.92,-7.246,-6.489,-6.266,-6.973,-6.548,-6.881,-6.253,-7.246
44440987,-4.917,-6.75,-6.266,-5.428,-4.958,-5.352,-6.722,-6.268,-6.75
72313,-3.927,-5.566,-6.033,-5.12,-4.726,-4.433,-5.266,-6.51,-6.51
11563133,-3.258,-6.153,,-4.299,-4.334,-5.442,-5.541,-5.875,-6.153
44440974,-4.745,-7.115,-6.251,-6.076,-6.608,-6.298,-6.77,-6.355,-7.115
44440981,-4.795,-6.767,-5.95,-5.718,-6.572,-5.765,-6.237,-5.374,-6.767
44440958,-5.169,-7.636,-7.097,-5.951,-6.139,-4.835,-6.683,,-7.636
44440985,-5.426,-5.13,-6.546,-5.518,-5.134,-5.07,-5.931,-6.024,-6.546
44440971,-4.739,-7.5,-5.933,-6.025,-6.956,-6.343,-6.951,-6.715,-7.5
52940990,,,,,,,,,0
950368,-4.525,-7.147,-6.259,-6.251,-6.507,-6.564,-6.451,-6.37,-7.147
44440969,-4.256,,,-6.117,-5.536,-5.664,-6.611,-6.06,-6.611
16760696,-5.52,-6.885,-5.884,-5.672,-5.793,-5.474,-5.617,-5.805,-6.885
122724,-4.439,-4.151,-4.449,-3.608,-3.332,-2.603,-4.498,-4.726,-4.726
44440961,-4.876,-6.629,-6.135,-6.331,-6.755,,-6.539,-6.166,-6.755
1948620,-5.35,-5.94,-6.116,-5.73,-6.609,-6.373,-5.598,-6.783,-6.783
45265923,-4.917,-7.031,-6.528,-6.036,-6.695,-5.108,-6.492,-6.677,-7.031
44440965,-4.584,-7.019,-6.391,-4.731,-5.963,-5.148,-6.61,-7.121,-7.121
6857789,-3.842,-5.904,-6.313,-5.132,-5.708,-4.302,-4.524,-5.682,-6.313
44440976,-4.084,-7.311,-6.133,-6.758,,-5.127,-6.601,-6.451,-7.311
44440983,,-6.356,-6.649,-6.566,-6.364,-6.229,-5.702,-7.012,-7.012
756804,,,,,,,,,0
44440979,-4.536,-6.76,-6.039,-6.15,-6.317,-5.97,-6.243,-5.633,-6.76
52943029,-5.507,-6.198,-5.833,-7.346,-5.583,-5.124,-5.882,-6.615,-7.346
23628286,,,,,,,,,0
52940990,-5.082,-5.87,-6.873,-7.065,-5.145,-4.891,-5.666,-6.026,-7.065
44440990,-4.707,-5.371,-6.448,-5.814,-5.608,-4.688,-6.472,-6.001,-6.472
11222830,-4.689,-5.301,-4.884,-6.041,-5.833,-5.928,-5.748,-6.473,-6.473
52944213,-4.64,-6.673,-6.226,-5.468,-6.385,-5.438,-6.143,-5.47,-6.673
5319258,-5.582,-5.009,-6.211,-5.225,-5.469,-5.04,-5.31,-5.21,-6.211
756804,-4.919,-6.995,-6.529,-6.035,-6.692,-5.111,-6.496,-6.66,-6.995
23628286,-4.685,-7.521,-6.483,-5.665,-6.263,-6.055,-7.168,-7.168,-7.521
4055,-5.572,-6.612,-5.73,-6.684,-5.384,-5.501,-6.173,-6.244,-6.684
23640938,-4.777,-6.774,-5.87,-6.987,-5.174,-5.33,-6.754,-6.302,-6.987
44440963,-4.791,-7.286,-7.054,-6.036,-5.553,-4.11,-5.363,-5.288,-7.286
