Compound,Best,Flag
A4,-11.3552752,1
A5,-10.8286543,1
A7,-10.1596889,1
A6,-10.0276871,1
Nelfinavir_2-2GZ7,-9.4878006,0
A3,-9.32950687,1
A23,-9.06859112,1
A32,-8.97460461,1
A2,-8.96118069,1
A26,-8.93396378,1
A24,-8.93108082,1
A35,-8.77233124,1
A20,-8.6997242,1
Lopinavir_2-2GZ7,-8.67773724,0
A25,-8.63141727,1
Pimozide-2GZ7,-8.60943604,0
A8,-8.56348705,1
A31,-8.54941177,1
A19,-8.43395329,1
A33,-8.40034103,1
A39,-8.38199043,1
A14,-8.30173302,1
A13,-8.29996777,1
A16,-8.2936554,1
A34,-8.2125597,1
6M2N_-_ligand-2GZ7,-8.18708992,0
A38,-8.13733101,1
A12,-8.04790497,1
A37,-8.04116821,1
A1,-7.99406815,1
A36,-7.98227692,1
A30,-7.88297319,1
A15,-7.68103027,1
A10,-7.67940903,1
A9,-7.66142273,1
A29,-7.63764191,1
5RGU_-_ligand-2GZ7,-7.63235283,0
5RGV_-_ligand-2GZ7,-7.56738234,0
A21,-7.55581522,1
Ebastine-2GZ7,-7.45768356,0
5RGY_-_ligand-2GZ7,-7.45737219,0
5RGZ_-_ligand-2GZ7,-7.16088772,0
_R_-Bepridil-2GZ7,-6.98456335,0
5RGX_-_ligand-2GZ7,-6.98098755,0
5RF7_-_ligand-2GZ7,-6.88277864,0
5RGW_-_ligand-2GZ7,-6.84200096,0
5RFE_-_ligand-2GZ7,-6.81402588,0
_S_-Bepridil-2GZ7,-6.81146145,0
5RH3_-_ligand-2GZ7,-6.69189453,0
5R83_-_ligand-2GZ7,-6.65009975,0
5RG1_-_ligand-2GZ7,-6.56240988,0
5RH1_-_ligand-2GZ7,-6.55870867,0
5R7Z_-_minimized_lig-2GZ7,-6.39074564,0
5R81_-_ligand-2GZ7,-6.38340569,0
5RH2_-_ligand-2GZ7,-6.30949306,0
5RH0_-_ligand-2GZ7,-6.26667452,0
5RH8_-_ligand-2GZ7,-6.22426987,0
5RGI_-_ligand-2GZ7,-6.22183323,0
5R84_-_ligand-2GZ7,-6.2069521,0
5RF6_-_ligand-2GZ7,-6.03908205,0
5RGH_-_ligand-2GZ7,-5.84930992,0
5REB_-_ligand-2GZ7,-5.60114098,0
5R80_-_ligand-2GZ7,-5.59586811,0
5R7Y_-_ligand-2GZ7,-5.58434057,0
5RF1_-_ligand-2GZ7,-5.16597128,0
5REZ_-_ligand-2GZ7,-4.99637461,0
