Ligand,Score,Flag
active_1T32,-9.95700455,1
active_44378519,-9.58285046,1
active_1KYN,-9.00346375,1
active_9830518,-8.92217636,1
6M2N_-_ligand,-8.90188408,0
Lopinavir_2,-8.41125011,0
Nelfinavir_2,-8.39097691,0
active_10593313,-8.37843037,1
active_10714430,-8.31325817,1
Pimozide,-8.24332333,0
active_10497621,-8.23624992,1
active_44378491,-8.21402836,1
active_10620089,-8.18614101,1
active_24800541,-8.04677868,1
5RGU_-_ligand,-7.88558388,0
5RGY_-_ligand,-7.87526321,0
active_10619385,-7.87469959,1
active_56673659,-7.84119749,1
active_737680,-7.82013559,1
active_56670149,-7.80213356,1
active_56683634,-7.78036928,1
active_25124204,-7.73065519,1
active_9798519,-7.71683025,1
5RGV_-_ligand,-7.61479092,0
active_56666720,-7.59430456,1
active_9800909,-7.57029438,1
active_10497407,-7.56624126,1
active_387447,-7.56520748,1
active_10391460,-7.50013065,1
active_10625780,-7.50013065,1
active_3245662,-7.46625614,1
Ebastine,-7.42876244,0
active_56673658,-7.33714008,1
active_91935165,-7.30535984,1
active_296003,-7.27446461,1
_R_-Bepridil,-7.23308945,0
active_10524714,-7.19542599,1
5RG1_-_ligand,-7.17695141,0
5RGZ_-_ligand,-7.17105103,0
active_44378543,-7.12198114,1
active_10038543,-7.08473349,1
5RF7_-_ligand,-7.0511508,0
active_2201551,-6.97815752,1
active_91935167,-6.95480442,1
5RGX_-_ligand,-6.95104647,0
5RGW_-_ligand,-6.87339163,0
active_3492365,-6.8721981,1
5RFE_-_ligand,-6.84196091,0
5RGI_-_ligand,-6.70643806,0
5RH0_-_ligand,-6.65650654,0
_S_-Bepridil,-6.63791037,0
5R83_-_ligand,-6.59584284,0
5RH3_-_ligand,-6.55958128,0
5R7Z_-_minimized_lig,-6.54596376,0
5RH2_-_ligand,-6.53142834,0
5RF6_-_ligand,-6.51654387,0
5R81_-_ligand,-6.4148407,0
5R80_-_ligand,-6.31704617,0
5RH1_-_ligand,-6.31632328,0
5RH8_-_ligand,-6.23041391,0
5R84_-_ligand,-6.22611427,0
5RGH_-_ligand,-6.04380369,0
5REZ_-_ligand,-5.77104139,0
5R7Y_-_ligand,-5.67813492,0
5RF1_-_ligand,-5.52386808,0
5REB_-_ligand,-4.95047665,0
