Compound,Score,Flag
11453471,-10.46,1
10146470,-9.32,1
90657067,-8.82,1
44316486,-8.14,1
90657062,-8.13,1
46853735,-7.87,1
Lopinavir_2,-7.83,0
10258388,-7.72,1
46853713,-7.69,1
46853668,-7.64,1
46843039,-7.58,1
46853691,-7.58,1
5R81 - ligand,-7.52,0
46853762,-7.47,1
46853712,-7.45,1
46853711,-7.42,1
46853689,-7.4,1
46853640,-7.38,1
46853739,-7.24,1
53322017,-7.23,1
46853763,-7.2,1
46853710,-7.18,1
5RG1 - ligand,-7.17,0
46853734,-7.14,1
46853764,-7.12,1
5RGY - ligand,-7.04,0
46853687,-6.96,1
46853663,-6.91,1
46853766,-6.89,1
46853765,-6.8,1
12222541,-6.7,1
46853690,-6.7,1
46853738,-6.7,1
10316093,-6.68,1
Nelfinavir_1,-6.61,0
5RGV - ligand,-6.6,0
5R80 - ligand,-6.57,0
5RF1 - ligand,-6.47,0
5RH1 - ligand,-6.43,0
12222540,-6.39,1
5R7Y - ligand,-6.39,0
5RH0 - ligand,-6.26,0
10038543,-6.25,1
5RH8 - ligand,-6.18,0
5RH2 - ligand,-6.16,0
5R7Z - minimized_lig,-6.15,0
5REZ - ligand,-6.15,0
5RH3 - ligand,-6.1,0
5RGZ - ligand,-6.08,0
5R83 - ligand,-6.03,0
5RFE - ligand,-6.03,0
5RGW - ligand,-5.91,0
5RF7 - ligand,-5.85,0
53326855,-5.83,1
5RGX - ligand,-5.82,0
5RF6 - ligand,-5.79,0
5R84 - ligand,-5.76,0
6M2N - ligand,-5.66,0
44354936,-5.31,1
5RGU - ligand,-5.3,0
Pimozide,-5.23,0
5REB - ligand,-5.18,0
(S)-Bepridil,-4.81,0
44354968,-4.68,1
(R)-Bepridil,-4.6,0
5RGI - ligand,-4.55,0
Ebastine,-4.55,0
5RGH - ligand,-4.49,0
