Compound,1FJS,1IQH,1lPK,1LQD,3SW2,Best
_R_-Bepridil,-7.16195011,-7.00432587,-7.08616829,-6.8550539,-7.21388054,-7.21388054
_S_-Bepridil,-7.09538412,-7.03135014,-6.70574713,-7.23250818,-7.35126257,-7.35126257
5R7Y_-_ligand,-6.34192514,-6.11334991,-6.46474504,-6.31758213,-6.34915972,-6.46474504
5R7Z_-_minimized_lig,-6.85157204,-7.03156853,-6.96042585,-6.8318162,-6.93232155,-7.03156853
5R80_-_ligand,-6.18162775,-6.19382191,-6.10742235,-5.84228897,-6.26492596,-6.26492596
5R81_-_ligand,-6.21406841,-6.35555649,-5.82020998,-5.96170425,-5.97931433,-6.35555649
5R83_-_ligand,-6.94794464,-6.83528757,-6.89755392,-6.32356548,-6.62827301,-6.94794464
5R84_-_ligand,-6.52719641,-6.60610056,-6.70538139,-6.97413206,-6.77995634,-6.97413206
5REB_-_ligand,-5.90405703,-5.85089922,-5.46643305,-5.17161226,-5.89707422,-5.90405703
5REZ_-_ligand,-5.45414305,-6.09167957,-6.01435184,-5.63212013,-5.80200672,-6.09167957
5RF1_-_ligand,-5.82000446,-5.91059923,-5.87986231,-5.57555628,-5.97683525,-5.97683525
5RF6_-_ligand,-6.63665056,-6.44749451,-5.62639713,-6.29114056,-6.30038309,-6.63665056
5RF7_-_ligand,-7.51771498,-7.48889446,-7.16274118,-7.20928335,-7.31950283,-7.51771498
5RFE_-_ligand,-7.66834593,-7.36806631,-7.58671951,-7.4409914,-7.42109585,-7.66834593
5RG1_-_ligand,-7.32251358,-7.4447875,-6.46583652,-7.28591681,-7.29367065,-7.4447875
5RGH_-_ligand,-6.10416269,-6.02565527,-5.78816986,-5.95619583,-5.96074724,-6.10416269
5RGI_-_ligand,-6.05612183,-6.34134293,-6.41559362,-6.43349075,-5.96815634,-6.43349075
5RGU_-_ligand,-7.79837418,-7.1451683,-7.41895151,-7.47485256,-7.45703745,-7.79837418
5RGV_-_ligand,-7.77158785,-7.85761929,-8.11735344,-8.12679291,-7.72431564,-8.12679291
5RGW_-_ligand,-7.07048416,-6.82763338,-6.59363651,-6.4515667,-6.63465071,-7.07048416
5RGX_-_ligand,-7.16255379,-7.50122309,-7.27633095,-7.20952797,-6.93384171,-7.50122309
5RGY_-_ligand,-8.70717239,-8.76702881,-9.45984173,-9.37879848,-8.73342419,-9.45984173
5RGZ_-_ligand,-7.10002613,-7.14819098,-7.0086112,-6.67717171,-7.0339489,-7.14819098
5RH0_-_ligand,-6.74389172,-6.7950201,-6.73914289,-6.42029333,-6.86094093,-6.86094093
5RH1_-_ligand,-6.45876932,-6.33452368,-6.41268539,-6.34071922,-6.22366667,-6.45876932
5RH2_-_ligand,-7.21914721,-6.87722349,-6.91683054,-6.60547686,-6.97997093,-7.21914721
5RH3_-_ligand,-7.34882736,-7.11673927,-6.98782158,-7.19645834,-7.20142746,-7.34882736
5RH8_-_ligand,-6.80045462,-6.27019691,-6.78726006,-6.93247938,-6.9003582,-6.93247938
6M2N_-_ligand,-8.43015575,-8.5857811,-8.30185604,-8.15050888,-8.64199543,-8.64199543
Ebastine,-8.92164612,-8.22762775,-8.65272713,-8.45876408,-8.61209393,-8.92164612
Lopinavir_2,-9.38858318,-9.37489033,-8.25997066,-8.48185062,-8.68790722,-9.38858318
Nelfinavir_1,-9.91545963,-9.27837753,-9.96119785,-9.53818798,-9.47809887,-9.96119785
Pimozide,-9.42041016,-9.08454704,-9.90565586,-9.65521145,-10.1227617,-10.1227617
