Ligand,Score,Flag
active_44563637,-9.25364876,1
active_44563640,-9.08618736,1
active_44563636,-8.91216087,1
active_44563631,-8.86226463,1
active_44563641,-8.75226021,1
Pimozide,-8.6785326,0
active_44563626,-8.65838242,1
active_44563632,-8.64718151,1
active_44563633,-8.60010529,1
active_44563634,-8.55532074,1
active_44563628,-8.47925854,1
active_44563627,-8.39516449,1
Lopinavir_2,-8.3549118,0
active_44563630,-8.26974773,1
Nelfinavir_2,-8.1600399,0
5RGY_-_ligand,-7.78105593,0
6M2N_-_ligand,-7.62732935,0
active_44563638,-7.59966612,1
active_23582895,-7.55959225,1
5RGV_-_ligand,-7.41332531,0
active_44563639,-7.41276073,1
5RGU_-_ligand,-7.260396,0
active_44563635,-7.18313026,1
Ebastine,-6.90871191,0
5RGX_-_ligand,-6.85169888,0
5R7Z_-_minimized_lig,-6.82243252,0
5RF7_-_ligand,-6.66110945,0
5RFE_-_ligand,-6.65952396,0
5RH3_-_ligand,-6.63768387,0
5RGZ_-_ligand,-6.62111044,0
5R83_-_ligand,-6.51333141,0
5RH2_-_ligand,-6.49485111,0
5R81_-_ligand,-6.4944725,0
5RGW_-_ligand,-6.416749,0
5RH0_-_ligand,-6.36757898,0
5RH8_-_ligand,-6.24406815,0
5RG1_-_ligand,-5.99230337,0
5R7Y_-_ligand,-5.97343874,0
_R_-Bepridil,-5.90596008,0
_S_-Bepridil,-5.8427186,0
5R84_-_ligand,-5.82594109,0
5RH1_-_ligand,-5.64526224,0
5RF6_-_ligand,-5.57349539,0
5R80_-_ligand,-5.57129049,0
5RGI_-_ligand,-5.45048189,0
5REB_-_ligand,-5.4493022,0
5RGH_-_ligand,-5.36673641,0
5RF1_-_ligand,-5.31198788,0
5REZ_-_ligand,-5.0621171,0
