Ligand,Score,Flag
active_23628286,-9.43130589,1
active_45265913,-9.3722229,1
Nelfinavir_2,-9.03336811,0
active_45265923,-8.855299,1
active_756804,-8.71410847,1
Pimozide,-8.67129993,0
6M2N_-_ligand,-8.32068539,0
5RGY_-_ligand,-8.15636921,0
Ebastine,-7.96011925,0
Lopinavir_2,-7.92357588,0
active_52943029,-7.81527328,1
active_52940990,-7.7142911,1
active_52944213,-7.70771599,1
5RGU_-_ligand,-7.70398331,0
5RGX_-_ligand,-7.60581732,0
5RGV_-_ligand,-7.57757998,0
5RGZ_-_ligand,-7.49197721,0
5RH3_-_ligand,-7.30252647,0
5RH8_-_ligand,-7.24707842,0
5RGW_-_ligand,-7.21517467,0
5RFE_-_ligand,-7.16202211,0
5R7Z_-_minimized_lig,-7.03446054,0
5RF7_-_ligand,-7.03348875,0
5RH2_-_ligand,-7.03024197,0
_R_-Bepridil,-6.92710209,0
5RG1_-_ligand,-6.8236165,0
5R81_-_ligand,-6.82091093,0
5R83_-_ligand,-6.56727076,0
5R84_-_ligand,-6.46311903,0
_S_-Bepridil,-6.32555819,0
5RH0_-_ligand,-6.27812529,0
5RH1_-_ligand,-6.14488173,0
5RGI_-_ligand,-6.12590075,0
5R7Y_-_ligand,-6.06181622,0
5RF6_-_ligand,-5.99093056,0
5R80_-_ligand,-5.98739624,0
5RGH_-_ligand,-5.72956657,0
5REB_-_ligand,-5.71034813,0
5REZ_-_ligand,-5.64298964,0
5RF1_-_ligand,-5.61623621,0
