AR,AhR,CYP1A2,CYP2C9,CYP2D6,CYP3A4,ERa,ERB,GR,hERG,LXR,MR,PPARy,PR,TRa,TRB
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.0000217,NaN,NaN,NaN,NaN,NaN,NaN,0.0000849,NaN,NaN,0.0000855,0.0000144,0.0000357,8.24E-08,0.00000131
0.00000378,0.000000343,0.00000844,0.0000679,0.0000176,0.000025,0.00000145,0.000000577,0.000000987,0.00000162,0.0000258,0.0000106,0.000000844,0.00000247,0.000000293,0.00000152
0.0000412,0.000000912,NaN,NaN,NaN,0.0000532,0.00000214,NaN,0.00000457,0.0000017,0.000000617,0.0000804,0.00000104,0.0000221,0.00000317,0.0000387
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000677,0.0000349,NaN,NaN,0.0000691,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000265,NaN,NaN,NaN,0.0000784,NaN,NaN
0.0000251,0.0000106,0.000000963,0.0000146,0.00000324,0.0000458,7.28E-08,9.72E-08,0.000000498,0.000000015,0.0000126,0.0000309,0.000000664,0.00000112,0.0000769,NaN
NaN,0.0000339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000794,0.0000818,NaN,NaN
0.00000359,0.0000156,NaN,0.0000128,NaN,0.000000204,6.74E-08,0.00000704,0.00000718,0.000000808,0.00000163,NaN,0.000000451,0.00000619,0.0000229,0.00000399
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.0000401,NaN,NaN,NaN,NaN,0.0000121,NaN,0.0000219,NaN,0.000014,0.0000187,0.0000531,NaN,NaN,NaN
NaN,0.00000647,NaN,NaN,NaN,0.00000859,NaN,NaN,NaN,NaN,NaN,NaN,0.000038,0.0000323,0.00000163,0.0000656
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000707,0.0000241,0.0000299,0.0000924
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000375,0.0000614,NaN,NaN,0.00000784,NaN,NaN,NaN
0.000000183,NaN,NaN,0.00000538,0.000000844,0.0000047,3.71E-08,0.00000294,6.18E-08,5.77E-08,0.0000491,0.00000347,0.0000207,0.000000107,0.0000306,0.00000284
0.0000192,0.0000577,NaN,NaN,NaN,NaN,0.0000386,0.0000285,0.000013,NaN,NaN,NaN,NaN,0.0000154,NaN,0.00000785
0.00000255,0.0000321,NaN,NaN,NaN,NaN,0.000018,0.0000135,0.00000467,NaN,0.00000277,0.0000633,0.000000584,0.0000107,0.000000113,0.00000139
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000713,NaN,NaN,0.0000458
0.0000498,0.00000831,NaN,NaN,NaN,NaN,NaN,NaN,0.0000324,NaN,NaN,NaN,0.0000937,0.00000457,0.00000105,0.0000243
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000799,0.0000881,NaN,0.0000769,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.000095,NaN,0.0000938,0.0000987,0.0000419,NaN,0.0000213,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000656,NaN,NaN,NaN
NaN,0.0000108,NaN,NaN,NaN,NaN,NaN,NaN,0.0000417,0.0000264,0.0000822,NaN,0.0000296,NaN,0.00000446,0.0000663
NaN,0.0000604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000031,NaN,0.0000105,0.0000206
0.0000133,0.00000105,NaN,NaN,0.0000427,0.0000335,0.00000142,0.00000218,0.00000825,0.0000123,0.000041,0.000045,0.00000285,0.0000187,0.00000166,0.0000114
0.00000905,0.00000159,NaN,NaN,NaN,NaN,0.0000129,0.0000432,0.00000259,NaN,NaN,0.0000178,0.00000167,0.00000642,0.0000513,0.00000887
0.0000176,0.00000136,0.0000377,0.000000954,0.00000104,0.00000261,0.00000402,0.0000133,0.000000728,6.38E-08,0.0000146,0.000000213,0.0000239,0.00000102,0.0000186,0.000000557
NaN,NaN,0.0000799,NaN,0.0000495,NaN,0.00000121,0.0000052,0.0000589,0.0000138,NaN,NaN,0.0000254,0.0000154,NaN,0.0000674
0.0000683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000633,NaN,0.00000969,NaN,0.0000593
NaN,NaN,NaN,NaN,NaN,NaN,0.0000503,0.000049,0.000000613,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.000000147,0.00000376,0.0000543,NaN,NaN,NaN,0.00000928,0.00000914,0.00000185,0.00000322,0.0000151,0.00000735,0.0000648,0.0000787,0.000000715,0.0000247
NaN,NaN,NaN,NaN,NaN,NaN,0.000012,0.0000796,0.0000164,0.00000134,0.00000417,NaN,NaN,0.0000835,NaN,NaN
0.0000176,NaN,NaN,NaN,0.00000593,NaN,0.0000174,NaN,0.0000125,0.000000043,0.0000259,NaN,0.00000457,NaN,0.0000205,0.0000331
